nation,res2010,res2014,res2018
アイスランド,,,28
アメリカ合衆国,12,15,
アルジェリア,28,14,
アルゼンチン,5,2,16
イタリア,26,22,
イラン,,28,18
イングランド,13,26,4
ウルグアイ,4,12,5
エクアドル,,17,
エジプト,,,31
オーストラリア,21,30,29
オランダ,2,3,
ガーナ,7,25,
カメルーン,31,32,
ギリシャ,25,13,
クロアチア,,19,2
コートジボワール,17,21,
コスタリカ,,8,30
コロンビア,,5,9
サウジアラビア,,,26
スイス,19,11,14
スウェーデン,,,7
スペイン,1,23,10
スロバキア,16,,
スロベニア,18,,
セネガル,,,17
セルビア,23,,23
チュニジア,,,24
チリ,10,9,
デンマーク,24,,11
ドイツ,3,1,22
ナイジェリア,27,16,2
ニュージーランド,22,,
パナマ,,,32
パラグアイ,8,,
ブラジル,6,4,6
フランス,29,7,1
ペルー,,,20
ベルギー,,6,3
ポーランド,,,25
ボスニア・ヘルツェコビナ,,20,
ポルトガル,11,18,13
ホンジュラス,30,31,
メキシコ,14,10,12
モロッコ,,,27
ロシア,,24,8
韓国,15,27,19
南アフリカ共和国,20,,
日本,9,29,15
北朝鮮,32,,
