name,country,position,image,worth,age
Tim Howard,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/4267-1587066706.jpg?lm=1,2000000,34
Geoff Cameron,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/31642-1646524546.png?lm=1,4500000,28
John Anthony Brooks,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/124732-1643900144.JPG?lm=1,3500000,21
Jonathan Spector,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/24637-1520876373.jpg?lm=1,1500000,27
Tim Ream,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/145466-1628697630.jpg?lm=1,1500000,26
Michael Orozco,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/58599-1587069652.jpg?lm=1,1000000,28
Oguchi Onyewu,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/12517-1489602500.jpg?lm=1,800000,31
Edgar Castillo,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/53542-1583434417.JPG?lm=1,1500000,27
Timothy Chandler,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/49723-1663064872.jpg?lm=1,2500000,24
Eric Lichaj,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/61575-1648761927.jpg?lm=1,1500000,25
DeAndre Yedlin,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/255916-1647683071.jpg?lm=1,250000,20
Jermaine Jones,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/1321-1587709287.jpg?lm=1,3000000,32
Danny Williams,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/38383-1520606519.jpg?lm=1,2200000,24
Maurice Edu,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/50987-1489602860.jpg?lm=1,1500000,27
Michael Bradley,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30593-1645892074.jpg?lm=1,6500000,26
Alejandro Bedoya,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/111783-1646139260.jpg?lm=1,2250000,26
Francisco Torres,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52623-1637943575.jpg?lm=1,2200000,26
Joe Corona,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/162940-1647680251.JPG?lm=1,1250000,24
Stuart Holden,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30071-1606066306.jpg?lm=1,1500000,28
Mix Diskerud,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/103559-1611153583.jpeg?lm=1,1400000,23
Alfredo Morales,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/58500-1645986059.jpg?lm=1,450000,23
Julian Green,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/161204-1657045398.jpg?lm=1,250000,18
Brek Shea,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/71107-1618682266.jpg?lm=1,1000000,24
Sacha Kljestan,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39475-1646080078.JPG?lm=1,3000000,28
Fabian Johnson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/31041-1533288897.jpg?lm=1,6000000,26
Clint Dempsey,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/27577-1520798945.jpg?lm=1,7000000,30
Jozy Altidore,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39378-1618856969.jpg?lm=1,6000000,24
Aron Jóhannsson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/119169-1535123791.jpg?lm=1,4000000,23
Terrence Boyd,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/103064-1660553641.jpg?lm=1,1750000,23
Hérculez Gómez,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39465-1476358592.jpg?lm=1,1000000,32
Juan Agudelo,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/131171-1618686115.JPG?lm=1,1000000,21
Bobby Wood,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/72519-1645892574.jpg?lm=1,450000,21
Sergio Romero,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/30690-1596803710.jpg?lm=1,2000000,26
Óscar Ustari,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_3755_3302_2012_1.jpg?lm=1,750000,27
Nicolás Otamendi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54781-1669835534.jpg?lm=1,12000000,26
Lisandro López,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/125019-1670616387.jpg?lm=1,6000000,24
Marcos Rojo,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/93176-1633537711.JPG?lm=1,12000000,24
Facundo Roncaglia,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/61546-1583311017.jpg?lm=1,5000000,26
Fabricio Coloccini,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/6150-1637344797.JPG?lm=1,4500000,31
Hugo Campagnaro,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/21782-1410340683.jpg?lm=1,4200000,33
Federico Fernández,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/85475-1520418021.jpg?lm=1,4000000,24
Lucas Orbán,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/110309-1447247400.jpg?lm=1,3500000,24
José María Basanta,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_55997_2407_2013_10_10_1.jpg?lm=1,3500000,29
Martín Demichelis,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/2963-1461254471.jpg?lm=1,2500000,33
Cristian Ansaldi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/55854-1632474398.jpg?lm=1,10000000,27
Clemente Rodríguez,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_20681_585_2012_1.jpg?lm=1,500000,32
Pablo Zabaleta,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/20007-1454413148.jpg?lm=1,19000000,28
Gino Peruzzi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/138110-1635707643.JPG?lm=1,3500000,21
Javier Mascherano,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19981-1465280515.jpg?lm=1,15000000,29
Enzo Pérez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/56066-1625771376.png?lm=1,11000000,27
Lucas Biglia,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26721-1669376509.jpg?lm=1,7500000,27
Francisco Cerro,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/125107-1639410271.JPG?lm=1,1800000,26
Ricardo Álvarez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/76077-1638748437.JPG?lm=1,16500000,25
Éver Banega,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/12249-1447239816.jpg?lm=1,14000000,25
José Sosa,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/20137-1603567042.jpeg?lm=1,9000000,28
Augusto Fernández,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39151-1447159801.jpg?lm=1,4000000,27
Maxi Rodríguez,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/7895-1484219186.jpg?lm=1,2000000,33
Lionel Messi,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/28003-1631171950.jpg?lm=1,120000000,26
Ángel Di María,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/45320-1663576797.jpg?lm=1,30000000,25
Erik Lamela,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/111630-1601318627.jpg?lm=1,24000000,21
Ezequiel Lavezzi,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/50570-1595579124.jpg?lm=1,21000000,28
Sergio Agüero,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/26399-1580460866.jpg?lm=1,45000000,25
Gonzalo Higuaín,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/39153-1647683336.jpg?lm=1,38000000,26
Rodrigo Palacio,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/39099-1410955127.jpg?lm=1,12000000,31
Azzedine Doukha,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/175462-1622122692.jpg?lm=1,550000,27
Cédric Si Mohammed,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_150127_16265_2012_1.jpg?lm=1,500000,28
Raïs M'Bolhi,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/33465-1450292325.jpg?lm=1,1000000,28
Sofiane Khedairia,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,450000,25
Mourad Berrefane,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/162396-1493924401.png?lm=1,350000,27
Aïssa Mandi,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/80293-1562248733.png?lm=1,2000000,22
Essaïd Belkalem,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/162395-1410444922.jpg?lm=1,1000000,25
Rafik Halliche,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/67815-1537360335.jpg?lm=1,1200000,27
Liassine Cadamuro,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_89325_681_2012_10_25_1.jpg?lm=1,800000,25
Nacereddine Khoualed,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/175194-1493924211.png?lm=1,600000,27
Madjid Bougherra,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_38074_26091_2014_03_03_1.jpg?lm=1,1200000,31
Ali Rial,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_162419_13366_2012_1.jpg?lm=1,400000,33
Faouzi Ghoulam,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/126656-1448529070.jpg?lm=1,3000000,22
