date,time,timezone,tweet
2014-06-27,22:56:17,900,アルジェリア代表のスリマニ、決勝T進出を喜ぶ「夢が叶った」 http://t.co/P4H3qVqarg @SoccerKingJPから
2014-06-27,22:50:52,900,審判団の判定に不服のカペッロ監督「なぜ敵視されるかわからない」 [blog-news] - マイナビニュース：　ブラジル・ワールドカップに出場しているロシア代表は、26日に行われたグループリーグ最終節でアルジェリア代表と対戦し、.. http://t.co/pows5ZFWYN
2014-06-27,21:48:07,900,コーデ、ツボだわ。 RT @SoccerKingJP 【談話】審判団の判定に不服のカペッロ監督「なぜ敵視されるかわからない」 http://t.co/gmyAPWC1gX 　アルジェリア代表戦の判定に不快感を示しています。 http://t.co/m4FOzsbW67
2014-06-27,21:48:01,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・・・って今知った。
2014-06-27,21:05:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・・・だそうです。
2014-06-27,20:58:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・・・だそうです。
2014-06-27,20:45:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・・・だそうです。
2014-06-27,20:43:40,900,アルジェリア代表のキーパーはトルシエ時代に琉球におったんかｗ
2014-06-27,20:29:57,900,【談話】審判団の判定に不服のカペッロ監督「なぜ敵視されるかわからない」 http://t.co/INjy7mdsI0 　アルジェリア代表戦の判定に不快感を示しています。 http://t.co/WwewIsPHlM
2014-06-27,20:02:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・(-∀-`; )
2014-06-27,20:01:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・(-∀-`; )
2014-06-27,20:00:02,900,初の決勝T進出!アルジェリア「ヒーローになった」。アルジェリア代表はロシア代表と1-1で引き分け、H組2位をキープ。初の決勝トーナメント進出を決めた。 前半を0-1で折り返したアルジェリアだったが、GKライス・(-∀-`; )
2014-06-27,19:00:02,900,アルジェリア代表のスリマニ、決勝T進出を喜ぶ「夢が叶った」。アルジェリア代表は26日にグループH最終節でロシア代表と対戦し、1－1で引き分けた。この結果、勝ち点4としたアルジェリアがグループ2位での決勝トーナメント進出を( ・ω・)
2014-06-27,18:55:00,900,アルジェリア代表のスリマニ、決勝T進出を喜ぶ「夢が叶った」。アルジェリア代表は26日にグループH最終節でロシア代表と対戦し、1－1で引き分けた。この結果、勝ち点4としたアルジェリアがグループ2位での決勝トーナメント進出を( ・ω・)
2014-06-27,18:33:00,900,アルジェリア代表のスリマニ、決勝T進出を喜ぶ「夢が叶った」。アルジェリア代表は26日にグループH最終節でロシア代表と対戦し、1－1で引き分けた。この結果、勝ち点4としたアルジェリアがグループ2位での決勝トーナメント進出を( ・ω・)
2014-06-27,18:00:48,900,http://t.co/qsg26Kys3G【フットボールチャンネル | サッカー情報満載！】【グループH　アルジェリア代表vsロシア代表戦の美女サポーターたち】
2014-06-27,17:39:13,900,"★本日の予定★

 18時～　サッカー「ポルトガル代表 vs ガーナ代表」
20時～　サッカー「アルジェリア代表 vs ロシア代表」
22時～　サッカー「アメリカ代表 vs ドイツ代表」
01時～　サッカー「コートジボワール代表 vs 日本代表」"
2014-06-27,17:27:15,900,【フットボールチャンネル】グループH　アルジェリア代表vsロシア代表戦の美女サポーターたち http://t.co/7oqp04Y8YO
2014-06-27,17:01:02,900,アルジェリア監督「もっとできると思っている」さらに上を目指す。アルジェリア代表は２６日、ワールドカップ（Ｗ杯）・グループＨ最終節でロシア代表と引き分け、初の決勝トーナメント進出を決めた。バヒド・ハリホジッチ監督は、もっとで(*´∀｀)ﾉ
