date,time,timezone,tweet
2022-12-15,22:06:26,900,@aAmMfG23ROjXJff 確かに。ドリブルとかシュートできるとかだと面白いのにねー
2022-12-15,22:05:25,900,"🇫🇷フランス代表 - 🇦🇷アルゼンチン代表
2018年、エムバペとメッシ https://t.co/CCpDxTdeSJ"
2022-12-15,22:04:18,900,"こちらのライターさんの記事を毎回読むにつれて、
アルゼンチン代表に肩入れしてしまう件...。

こうなったらメッシと彼を観てプロサッカー選手を目指し、代表チームに集まった選手たちに有終の美を飾って欲しい！！"
2022-12-15,22:03:24,900,"🇫🇷フランス代表 - 🇦🇷アルゼンチン代表
ワールドカップを優勝したレジェンド1️⃣0️⃣
ジダン(1998)とマラドーナ(1986) https://t.co/9Ndp2JyMDd"
2022-12-15,22:01:09,900,"🇫🇷フランス代表 - 🇦🇷アルゼンチン代表
レジェンド1️⃣0️⃣
マラドーナとプラティニ https://t.co/G6fe4SYAA7"
2022-12-15,22:00:56,900,"【商品のご案内】
【受注販売】Adidas 2022 アルゼンチン代表　トレーニングトップ　公式スポンサーマーキング付き

現在、インポートLサイズに関しましては、即日の出荷が可能です。 また、インポートMサイズは注文を頂いてから、2～3日ほどで出荷が可能です。 

https://t.co/0YwVrANA1u https://t.co/h8Rv4SsDnz"
2022-12-15,21:59:40,900,"W杯決勝が最後と語るアルゼンチン代表のメッシに女性記者が感動メッセージ https://t.co/zGPvfr3n7X @YouTubeより

何回見ても泣ける

私からも心を込めて
親愛なるレオへ
あなたと同じ時代に生まれたことを誇りに思います https://t.co/wIgGyGCkpP"
2022-12-15,21:58:35,900,"W杯 決勝
🇫🇷フランス代表対🇦🇷アルゼンチン代表

W杯でのヒストリー
1930年 : Argentine 1-0 France (グループステージ)
1978年 : Argentine 2-1 France (グループステージ)
2018年 : France 4-3 Argentine (ベスト16) https://t.co/ZagEqYzMoy"
2022-12-15,21:50:15,900,"メッシ、お散歩で体力温存して
戦況判断してタイミングみて
確実にゴール狙えるの神だけど、

W杯の強豪国相手に基本10人で守備してメッシに繋げられる今回のアルゼンチン代表は、色んな意味ですげーよ。

本当にメッシは神格化されてんだな。"
2022-12-15,21:44:01,900,"アルゼンチン代表のユニフォームのメンズは売り切れか〜😭😭😭
やっぱりみんな買うよね〜
優勝したら再発売とかないかな〜"
2022-12-15,21:37:56,900,"メッシ妻アントネラさん　決勝進出直後の投稿に500万超の「いいね」　「美しい」と反響も

サッカーW杯カタール大会で決勝に進出したアルゼンチン代表のリオネル・メッシの妻アントネラ・ロクソさん...
https://t.co/N2TmbYQWrH"
2022-12-15,21:36:41,900,キャラデザは佐藤元だっけ?
2022-12-15,21:35:41,900,【Ｗ杯】米メディア「アルゼンチン代表に黒人がいないのは差別」（海外の反応） https://t.co/AQfg5BpPnp
2022-12-15,21:32:39,900,☝️僕がアルゼンチン代表１０番だった頃の話⚽️
2022-12-15,21:32:00,900,"メッシ妻アントネラさん　決勝進出直後の投稿に500万超の「いいね」　「美しい」と反響も | デイリースポーツ

サッカーW杯カタール大会で決勝に進出したアルゼンチン代表のリオネル・メッシの妻アントネラ・ロクソさん…
https://t.co/PnF7s9frKq"
2022-12-15,21:22:55,900,"マテ茶っておいしいよね🇦🇷

W杯で決勝進出アルゼンチン代表、チームの「ほぼ全員」が愛飲するハーブ飲料を大量に持ち込んでいた (ビジネスインサイダージャパン) https://t.co/SigYHXLs5y"
2022-12-15,21:22:53,900,アルゼンチン代表最高だぜ
2022-12-15,21:17:26,900,"1996年には横浜マリノス🇯🇵にもいた元アルゼンチン代表MFネストル・ゴロシート氏🇦🇷が独特な決勝対策を披露。
「エンバペ🇫🇷の膝下を封じればいい」とする無謀なアイデア。実現できれば有効な策ですが、現実的ではないかも😅
#FIFAWorldCup #FIFAワールドカップ 
https://t.co/sYKRXZiskI"
2022-12-15,21:16:12,900,"いやぁワールドカップどうなるんだろうねぇ
個人的にはメッシが優勝してる姿が見たい

いよいよか…「日曜日が最後のW杯」リオネル・メッシがアルゼンチン代表引退を改めて明言(超WORLDサッカー！)
#Yahooニュース
https://t.co/0XL5ZURtgM"
2022-12-15,21:12:15,900,"「なぜならアルゼンチンは国であってディズニー映画じゃないからだ」
「アルゼンチン代表はチームであってネットフリックスの映画じゃないからだよ」"
2022-12-15,21:11:17,900,【Ｗ杯】米メディア「アルゼンチン代表に黒人がいないのは差別」（海外の反応） https://t.co/oW8KGjCFSs
2022-12-15,21:07:58,900,"オーケー。

なら、なんでアルゼンチン代表に、アジア人・日系アルゼンチン人が居ないことは、差別にならないんだ？？"
2022-12-15,21:07:50,900,(自分が試合生中継を観ると贔屓の代表、チーム、棋士が敗戦することが割と多い)メッシ主将とアルゼンチン🇦🇷代表の優勝を強く祈願中。日曜日は勤務日でもあり、生中継は観ない。。この忍耐と犠牲❓を神様に謹んで献納しますので、アルゼンチン代表🇦🇷優勝をどうぞよろしくお願い申し上げます🙏🏻✝️
2022-12-15,21:06:29,900,"Buenas noches los amigos.
ディマリアは知ってましたが、
Aコレアも辛い少年期だったとは。

ますますコレアが好きになりました。でも決勝出ないだろうな。残念。

祖父を女が射殺…W杯アルゼンチン代表、貧しさから這い上がった壮絶人生の5人 https://t.co/aqfb2buY6n @Qoly_Liveより"
2022-12-15,21:05:47,900,"成長ホルモンが不足する病気を克服し､世界最高峰の選手となった #メッシ
当時の記録映像と再現映画を融合させた斬新な構成で
幼少期から #バルセロナ と #アルゼンチン 代表での活躍を描く
🎬『MESSI/メッシ-頂点への軌跡-』
⚡️配信中
https://t.co/O3VasbZE0N
📀発売中
https://t.co/17pRlYNKO3
#W杯 https://t.co/pQFHDihcNQ"
2022-12-15,21:04:14,900,俺的にはメッシに優勝してアルゼンチン代表を引退して欲しいからアルゼンチンに勝ってほしい‼️
2022-12-15,21:03:49,900,【Ｗ杯】米メディア「アルゼンチン代表に黒人がいないのは差別」（海外の反応） https://t.co/xARBRpqMmA
