date,time,timezone,tweet
2018-06-29,23:58:27,900,"@tarafuku10 @N74580626 イギリスもスポーツ紙未満の大手メディアばかりに成り下がってますからねぇ
イングランド代表の試合結果的にBBC的には都合悪くて日本にケチつけたほうが恥ずかしいレベル
タイトルを比較してもBBCってダサいｗ

「日本の決勝T進出、「あぜんとする茶番」」

「イングランドは2位通過の方が楽（ｷﾘ」"
2018-06-29,23:51:46,900,"完全移籍
FW  ウェイン・ルーニー
   🏴󠁧󠁢󠁥󠁮󠁧󠁿元イングランド代表
🏴󠁧󠁢󠁥󠁮󠁧󠁿エヴァートン／イングランド
↓
🇺🇸DCユナイテッド／アメリカ"
2018-06-29,23:51:14,900,イングランド代表側は優勝候補はスペイン代表だけ！！ベルギー代表側は優勝候補ばかり！！□「イングランドはベルギーに敗れ、勝利を手にした」　G組首位に待ち受ける苦難の道程（Football ZONE web） - Yahoo!ニュース https://t.co/k0r0wWdW8J @YahooNewsTopics
2018-06-29,23:49:10,900,次戦のリスクは川島？　キャッチすればいいものをパンチングで失点　元イングランド代表も酷評「下手」　Ｗ杯夕刊フジ
2018-06-29,23:47:17,900,今のイングランド代表の選手誰も知らんな。
2018-06-29,23:46:54,900,U-21イングランド代表のコーカーは、ロンドン・オリンピックに臨むチームGBにも選出されている。
2018-06-29,23:41:02,900,NEWS 『敗戦イングランド 無気力批判』W杯イングランドvs.ベルギーの前半は自陣でのパス回しが多く、元イングランド代表FWリネカー氏は「奇妙な… https://t.co/0x7ikIQLL8
2018-06-29,23:40:30,900,イングランド代表FWケインの凄さ、データで検証 #NewsPicks https://t.co/HNr3CNfXMf
2018-06-29,23:33:15,900,「日本の先発変更はギャンブル」　元イングランド代表ＭＦ「成功すれば神業」／Ｗ杯 https://t.co/9GaYGBWBgh
2018-06-29,23:08:56,900,オラは大事な時期イングランドで過ごした。イングランドでフットボールを見始めた。イングランド代表を1番よく知ってる。ウェンブリーだって5回行ったよ。
2018-06-29,23:05:08,900,"ロシアw杯│イングランド代表vsベルギー【ケイン対アザール】

要チェック→https://t.co/QvCV311QMz"
2018-06-29,23:01:42,900,BBCに関しては、みんな許してやれ。あいつら日本とround16でやりたかっただけだ。イングランド代表はコロンビアにぶっ殺される運命なので、その後はサウスゲートを叩くから心配しなくていい。
2018-06-29,22:55:59,900,"M13:1990W杯イングランド代表アンセム。2002日韓W杯時にremix発売。
M14:ユーロ1996イングランド代表アンセム
M15:2002W杯イングランド代表アンセム。イングランド・ユナイテッドによるリミックスver.もあり。"
2018-06-29,22:47:50,900,W杯イングランドvs.ベルギーの前半は自陣でのパス回しが多く、元イングランド代表FWリネカー氏は「奇妙な試合」と苦言を呈す。「一見、攻め合っているが必死ではない」との指摘も。 と6/29(金) 22:45 にYahoo!ニュースが伝えています
2018-06-29,22:46:16,900,【敗戦イングランド 無気力批判】W杯イングランドvs.ベルギーの前半は自陣でのパス回しが多く、元イングランド代表FWリネカー氏は「奇妙な試合」と苦言を呈す。「一見、攻め合っているが必死ではない」との指摘も。 https://t.co/GlM8tXRSiz
2018-06-29,22:43:06,900,"ことはともあれ日本代表がイングランド代表と当たらなかったことが一番の収穫w
応援してるチーム同士の試合は観戦の仕方に困りそうやからね…笑"
2018-06-29,22:07:53,900,イングランド代表。 https://t.co/NxW5WXY960
2018-06-29,22:06:27,900,なんとなくだけどイングランドが優勝する気がする。セットプレーで点をバカスカ取って。 #W杯 #イングランド代表
2018-06-29,21:48:52,900,"Wccf
エリック・ダイアーが入れば、新しいトッテナム縛りが完成するのに！

ちなみに、イングランド代表で1番好きな選手。

#WCCF 
#イングランド代表 https://t.co/PQPC9LQeEg"
2018-06-29,21:27:37,900,@LukiLukinha0325 @shuto20002105 明日はイングランド代表VS神川代表
