date,time,timezone,tweet
2022-12-02,22:52:20,900,クロアチア戦を行うアルジャノブスタジアムは今回のワールドカップでアジア勢のオーストラリア代表がグループステージで戦ったスタジアムで、オーストラリア代表は3試合ともこのスタジアムで戦い2勝1敗で決勝トーナメント進出を決めたようです。
2022-12-02,21:42:58,900,"今日保育園に送って行った時に教室で園児「先生！◯ューク知ってる？」
先生「リューク？知ってるよ死神でしょ？デスノートの…」
園児「ちがうあのねオーストラリアで」

って言い出した時にデュークか！！って解って吹き出しそうになった(ファジアーノ岡山の選手でオーストラリア代表"
2022-12-02,21:39:55,900,"2023シーズンから着任する原靖FDの手腕が、早々に発揮されるのだろうか。 #zelvia

J2町田　オーストラリア代表FW・デューク獲り　26日チュニジア戦で決勝弾（スポニチアネックス） - Yahoo!ニュース https://t.co/SoyleIo81S"
2022-12-02,21:33:58,900,"岡山のデューク獲得に向けてj1、j2の複数クラブが関心を示してる模様。
意外にもj2移籍の可能性が高い模様ですね。

オーストラリア代表としてW杯にも出場しているデュークの進展が気になりますね。"
2022-12-02,21:31:22,900,J2町田　オーストラリア代表FW・デューク獲り　26日チュニジア戦で決勝弾 #SmartNews  https://t.co/KgNNTKxdNd
2022-12-02,21:30:00,900,最終予選で日本が1勝2敗スタートを切ったとき、かなり悲観論が出たじゃないですか。過剰な悲観はナンセンスと思いつつ「大陸間プレーオフまで行ったら面白そうだな」と軽くワクワクした自分がいました。大陸間プレーオフからベスト16まで来たオーストラリア代表のサポーター、楽しかったでしょうねｗ
2022-12-02,21:16:17,900,"来シーズンは是非ともオーストラリア代表ユニフォーム着てCスタでファジの応援がしたい！

#mitchellduke
#ミッチェルデューク
#ファジアーノ岡山
#平畠啓史
#ワールドカップ
#オーストラリア代表 https://t.co/OAMeLLFfLy"
2022-12-02,20:55:59,900,ワールドカップのラウンド16には日本代表と岡山代表が両方出ていてワクワクが止まらない　＃日本代表　＃オーストラリア代表
2022-12-02,20:55:25,900,"オーストラリア代表のグラハム・アーノルド監督は、１６年ぶりの決勝トーナメント進出を決めた選手たちを称えた。イギリス『ＢＢＣ』が伝えている。３０日に ...
リンク：https://t.co/wBWETKTd1f
タ　グ：#オーストラリア"
2022-12-02,20:54:01,900,@yonlee 2006年ドイツ大会に出場した時のオーストラリア代表にはクロアチア系が7.5人いました。0.5は母方がクロアチア系の選手でした。
2022-12-02,20:30:01,900,"@youjujuramuriri 歩くんか〜い😆😆
オーストラリア代表の選手がファジアーノ岡山にいるんよ。

でも🦅らは鯉党じゃけんね🎏🎏"
2022-12-02,20:06:23,900,@Schalskee04 今オーストラリア代表選手で欧州リーグでプレーしてるのいないのか
