date,time,timezone,tweet
2010-06-25,21:35:48,900,W杯、ガーナ代表としてアナンが出場している！！きっとチームで一番監督の話を正確に聞いているのだろう。如是我聞・・・・
2010-06-25,16:02:26,900,kattchはガーナ代表監督となり、積極的にミドルから狙うサッカーでＷ杯を目指しますが、体力不足に苦しみ、最終的に解任になります。 http://shindanmaker.com/28803  ニャホニャホタマクロー
2010-06-25,13:34:54,900,6時30分のSNBC２トップニュース、１．南アのズマ大統領G20出席のためトロント到着、２．日本決勝T進出、３．オランダ未だ無敗。黒人男性アナはコートジボワール、白人女性アナはガーナ代表ユニ着用。　#2010wc
2010-06-25,13:29:31,900,SABC2（南アのTV）のスポーツニュースでようやく昨夜の日本3ゴールを確認。このコーナーの司会（白人女性）はガーナ代表ユニ着用。いかにガーナのR16残りが大きかったか、ということじゃろか？　#2010wc
2010-06-25,13:26:06,900,イングランド代表とガーナ代表にセックス禁止令が出ているらしい。大リーグの名監督の名言で「選手が試合前夜にセックスすることが問題ではなく、セックスを求めて夜通し起きてることだ」と言ったらしいです。晴れて予選リーグを突破した両代表。解禁日はいつの日でしょうか。 #2010wc
2010-06-25,13:22:13,900,ガーナ代表のクインシーオウスアベイェが好き！ オランダU-20代表の衝撃はやばいな！
2010-06-25,01:04:11,900,劇場公開時にはカットされますね QT @hiziri: ワールドカップ、ガーナ代表にギャンという選手がいてはるのか。「これはいいものだ」
2010-06-24,22:43:15,900,でもガーナ代表の活躍で、アフリカ大陸開催のワールドカップで「アフリカ代表全滅」は避けられたから、まぁ、良かったかな。
2010-06-24,22:31:06,900,ガーナ代表にギャンという選手がいた。あの壷は良い壷だ！！
2010-06-24,22:29:27,900,ワールドカップ、ガーナ代表にギャンという選手がいてはるのか。「これはいいものだ」
2010-06-24,20:19:19,900,兄がガーナ代表、弟がドイツ代表、ワールドカップの対戦で敵味方に別れて同じピッチに。国籍ってなんだろねー。。。。。腹を痛めたおかんにとっちゃ、幸せなゲームなこと！
2010-06-24,19:21:32,900,[Y!スポーツ]ガーナ代表監督「南アフリカのファンにも応援してもらいたい」（スポーツナビ） http://bit.ly/d1e54n
2010-06-24,17:58:43,900,ガーナ代表ケビン・プリンス・ボアテング、ドイツ代表ジェローム・ボアテング。この二人、実の兄弟なんすよ。兄弟なのに国が違う。海外ってこういう事あるんだねー。
2010-06-24,16:49:15,900,ガーナ代表のSサイズをUSアマゾンで買う方向で行こうかな。やっぱブラックスターズはかっこいい
