date,time,timezone,tweet
2014-06-27,23:58:54,900,そういえばギリシャ代表は宿泊費を工面できたんだろうか。
2014-06-27,23:47:06,900,"『Ｗ杯予選”日本代表vsギリシャ代表”の各メディア・解説者達の反応は？』 http://t.co/iEsg6UYu3Z

 -NAVERまとめ (スポーツ)"
2014-06-27,22:33:44,900,女装したリキ髪型のせいかギリシャ代表にいそうだった。
2014-06-27,22:30:52,900,ギリシャ代表の話ばかりしてた気がするね。まあでも昔から僕の中のイメージは、バックゲーム＝ロングカウンターで、ホールディングゲーム＝ショートカウンターなんですよ。だから今日やった遊び戦術はギリシャ代表なんですよまさしく。と言ってみる。
2014-06-27,20:08:20,900,@enunen なにそのギリシャ代表みたいな名前。あとなにぶっこんできてんの、イシナンティウス…。
2014-06-27,19:05:41,900,@Tylar52 ギリシャ代表に居そうな名前w
2014-06-27,18:35:54,900,"初の決勝進出を決めたギリシャ代表がドジッ子すぎる - NAVER まとめ / http://t.co/143nRR5lGa
ギリシャおいおい…って読んでたらレシプロさんのツイート載っててびっくりした"
2014-06-27,18:11:11,900,初の決勝進出を決めたギリシャ代表がドジッ子すぎる -競馬まとめ- http://t.co/XB1t9WAPXZ
2014-06-27,16:38:24,900,サッカー・ワールドカップ【パナギオティス・コネ】ギリシャ代表イケメンすぎる件まとめ - NAVER まとめ http://t.co/2bRADB2hpx
2014-06-27,14:30:06,900,RT: 2014年ブラジルワールドカップ　日本代表対ギリシャ代表のレビュー　「噛み合ってないチーム」 - pal-9999のサッカーレポート　http://t.co/r93mVliFxM
2014-06-27,14:30:04,900,"『Ｗ杯予選”日本代表vsギリシャ代表”の各メディア・解説者達の反応は？』 http://t.co/kMTfrEIQvj

 -NAVERまとめ (サッカー)"
2014-06-27,13:39:01,900,あとで読もう →2014年ブラジルワールドカップ　日本代表対ギリシャ代表のレビュー　「噛み合ってないチーム」 - pal-9999のサッカーレポート http://t.co/rqqa0AEsga
2014-06-27,12:23:13,900,『ギリシャはどうでした？』 本田『いやね。ていうかギリシャ代表より、サポーターに気とられてもうた。』 http://t.co/vi8uoxfDtA
2014-06-27,12:11:31,900,ホットスポット : 初の決勝進出を決めたギリシャ代表がドジッ子すぎる http://t.co/mkrGvpds1x #hotspot #genpatu
