date,time,timezone,tweet
2022-12-15,21:57:24,900,前からカッピングをしたいと言っている息子。ずっとスルーしてましたが、「クロアチア代表もやってるからやりたい」と言われ、調べたら思ったより安かったのでポチッとしました　笑
2022-12-15,21:41:06,900,"@tvasahi_soccer 準々決勝で敗れたブラジルのネイマールやアントニーなどブラジルの選手たちに歩み寄り、声を掛けていったクロアチア代表ルカ・モドリッチの姿。
話している内容がもう一度観たい。

#テレ朝W杯"
2022-12-15,21:30:12,900,いつも可愛がっていただいてる一回り上の御仁様との忘年会に今日は参加してきたのですが、普段そう呼ばれないのに「なかのっち」と咄嗟に呼ばれたので、「いやぼくクロアチア代表じゃないっす！」と間髪入れずに返答したのがいたく気に入ってもらえたみたいで、来年も仲良くしていただけそうです。
2022-12-15,21:23:43,900,"【2022W杯】クロアチア代表『ルカ・モドリッチ』年俸高すぎ！Jリーグ入り熱望も年俸面で懸念？
＃ABEMA
＃Jリーグ
＃W杯
＃カタール
＃ワールドカップ
＃クロアチア代表

https://t.co/CydIMudHgZ"
2022-12-15,21:22:18,900,"@Panty_cheng 奴より下やろ何言ってんねん
俺はクロアチア代表のマジキッチやぞ"
2022-12-15,21:19:36,900,"日本代表がカタール・ワールドカップ（W杯）のベスト16で敗れたクロアチア代表戦（12月6日）から1週間余りが過ぎたなか、あるホテルを訪ねた。
リンク：https://t.co/T76ScOXK5z
タ　グ：#ホテル"
2022-12-15,21:17:41,900,日本代表の前に立ちはだかったクロアチア代表の壁、グヴァルディオルを子供扱いして体すら当てさせないメッシ、やはり人間とは思えないな…。 https://t.co/eLYZu3B773
2022-12-15,21:08:39,900,"日本のメディアがOBコメントを意味が変わるレベルの端折り方で記事にした結果、海外メディアによる伝言ゲームが始まり最後はかなり挑発的な発言としてクロアチア代表監督に伝わってしまった、という経緯を説明したスレッド

どこの分野でもこういう害悪が😢"
2022-12-15,21:08:18,900,"ルカ・モディエッチ
(クロアチア代表 MF )"
2022-12-15,20:58:55,900,"僕は泣いちっち・・・クロアチア代表の名前が「・・ッチ」ばかりなのでこの曲のタイトルかと思わず1人で突っ込みしかけました(爆笑)
#元気なナツメロ"
2022-12-15,20:46:00,900,"🇲🇦#モロッコ代表 の健闘を称える声が
世界中から寄せられている

準決勝では🇫🇷#フランス代表 に敗れたものの
母国史上初のベスト8進出
アフリカ勢初のベスト4と躍進

3位決定戦では🇭🇷#クロアチア代表 と対戦する

#カタールW杯 #Qatar2022 #FIFAWorldCup 

https://t.co/SmXTjHv58t"
2022-12-15,20:25:28,900,同担のセンパイ、まさかクロアチア代表ってことないよね？
