date,time,timezone,tweet
2014-06-27,23:00:11,900,"『【W杯サッカー解説】早野宏史のダジャレがシャッキリしない！スイス代表シャキリのゴール』 http://t.co/hSvSSSj7eb 

 -YouTube -動画まとめ"
2014-06-27,21:05:43,900,@haaaaJ81 喜ばしいことに我らがスイス代表はグループリーグを突破したぞ！7/2の1時にメッシ率いるアルゼンチンと試合だベスト8をかけた負けられない戦いだ！
2014-06-27,20:59:50,900,スイス代表のヤンキーっぽい風貌のDFセンデロスが好きなのだけど、先日のフランス戦で負傷交代で途中出場したとき、そのあまりにものザルっぷり、往年の輝きが見られなかったことに落胆。今年で29歳なのか。もう一花咲かせて欲しいもんだが。
2014-06-27,20:20:13,900,"『【W杯サッカー解説】早野宏史のダジャレがシャッキリしない！スイス代表シャキリのゴール』 http://t.co/RnzAVKVvRk 

 -YouTube -動画まとめ"
2014-06-27,18:20:18,900,"『【W杯サッカー解説】早野宏史のダジャレがシャッキリしない！スイス代表シャキリのゴール』 http://t.co/AT9ifkI0WR 

 -YouTube -動画まとめ"
2014-06-27,16:34:33,900,んにゃ、確かにスイス代表のロドリゲスかっこいいb
2014-06-27,09:19:05,900,#ホンジュラス #Hondulas ブンデスリーガ – 公式ウェブサイトＭＦシャキリ、ホンジュラス戦で３得点ブンデスリーガ – 公式ウェブサイトバイエルンに所属するスイス代表ＭＦシャキリは６月２５日に行われたＷ杯１次リー... http://t.co/yuAVQJ9oUJ
2014-06-27,09:19:04,900,#ホンジュラス #Hondulas ハットトリックのシャチリ、アルゼンチン戦は「ビッグマッチになる」サンケイスポーツスイス代表ＭＦジェルダン・シャチリは、２５日に行われたワールドカップ（Ｗ杯）・グループＥ最終節ホンジュラ... http://t.co/nzkJUW1mFB
2014-06-27,07:53:21,900,サッカースイス代表のシャチリが「アグレッシブな猫ひろし」に見えてしょうがない。シャチリも160cmを切る身長かと思ってネットで調べてみたら169cmと書いてある。なんだか嘘くさくも思えるが、追求しないのが大人かな。
2014-06-27,07:49:54,900,今回のW杯のスイス代表、旧ユーゴ出身(2世かな？)が何人か居るみたいですね。サッカーは詳しくないけど、ちょっと注目してみよう
2014-06-27,06:38:44,900,スイス代表のちっちゃい選手マジ可愛い＆怖い
2014-06-27,06:03:40,900,スイス代表決勝進んだし、もっとインレルがテレビに写ると思ってたけど、シャキリ？にもってかれてるらー
2014-06-27,00:27:28,900,"【LFC】
・アルデルワイレルトが£7mで獲得可能かアトレティに問い合わせてる様子。
・サンチェスについてはDone dealだとトンプソン氏。
・ベルギーのOrigiを獲得し現所属クラブのリールへレンタルか
・ローマ、ミランも狙うスイス代表のシャキリ獲得レースをリードか"
2014-06-27,00:04:55,900,@kururi_tresmo わたしたちの馴れ初め(笑）はスイス代表と縁があったということで、これはもうスイスを応援するしかないよねｗ
2014-06-26,23:36:20,900,（サッカー）スイス代表の10番に「シャカ」っていう選手が居るんだけど、あれ絶対さー、聖闘士星矢ファンなら「お？　シャカ様だー」って思ったはずだよね？だよね？　
2014-06-26,23:35:37,900,得点ランキングです。スイス代表シャキリがハットトリックで一気にトップ集団に。 http://t.co/0G3vSrzfse
2014-06-26,23:28:45,900,スイス代表シャキリ、バイエルンからの移籍を示唆
2014-06-26,23:11:13,900,スイス代表のシャキリ、小さいけど凄い男だ。次の試合も断然応援します。（＾ω＾）
2014-06-26,23:07:09,900,ワールドカップスイス代表サッカーユニフォーム人気登場！スイス代表のファンならこちらへ、どうぞ http://t.co/4rguwn3tzX http://t.co/SwfN1EykfV
2014-06-26,22:41:01,900,病弱はサッカーあんまり知らないけど3年ぐらい前からずっとスイス代表を応援してるの、知ってた？
2014-06-26,22:18:24,900,"スイス代表のエースのシャキリっていう人めっちゃかっこよかった。
ハットトリックしたのに、 
「たまたま良いボールが来ただけで、皆でとったゴールだ。」
って言ってた。
めっちゃ謙虚やな。こんな人ほんまに尊敬するわ。
やっぱり、自慢しない男ってかっこいいよな。"
