date,time,timezone,tweet
2018-06-29,23:14:39,900,ユーロベスト４、Ｗ杯３位を経験したスウェーデン代表ＦＷが語る…大舞台での成功に必要なこと  サッカー  サンスポ https://t.co/ExUrn8OG2e
2018-06-29,23:00:22,900,年刻みにスウェーデン代表語りそう #いいねの数だけ好きなものを言う見た人もやる
2018-06-29,22:37:24,900,"スウェーデン代表
""""いぶら""""ヒモビッチ！！
気づくかなーw https://t.co/AaGQHAPB9O"
2018-06-29,22:21:55,900,イブラがスウェーデン代表に“オレ流”エール「俺の方が上手い」
2018-06-29,22:00:25,900,"スウェーデン代表はマジで頑張ってる
ヨーロッパ予選はフランス、オランダと同組
二位通過でプレーオフへ
プレーオフでイタリアに勝利しW杯出場
W杯グループリーグではドイツ(9大会連続ベスト8且つ4大会連続3位以上)、メキシコ(7大会連続ベスト16)と同組
結果１位通過"
2018-06-29,21:44:22,900,そういや、スウェーデンのリュングベリがエスパルスに来た時は、魂が震えたよなぁ。ラーションと共にスウェーデン代表を引っ張った英雄が日本に来るとは。 https://t.co/N7Ml0b4FGv
2018-06-29,20:01:36,900,"@ZooE_Games それはアルゼンチンだな
俺はモカなら右から2番目、縦から3番目のスウェーデン代表のユニフォームがいい
個人的には黒のアウエーの方が似合うと思う"
2018-06-29,19:31:33,900,白夜の四騎士もスウェーデン代表ユニホーム着用ですよ
2018-06-29,19:25:19,900,@dadada_san スウェーデン代表がメンバー見たときは強そう！ってなるけどいざ試合が始まるとそうでもなくて、終わり際には心労がひどいことになってる的なあれ？
2018-06-29,18:15:00,900,イブラがスウェーデン代表に“オレ流”エール「俺の方が上手い」
2018-06-29,16:18:07,900,イブラがスウェーデン代表に“オレ流”エール「俺の方が上手い」
2018-06-29,16:04:45,900,"【#ロシアW杯】
GroupFは #スウェーデン代表 #メキシコ代表 が突破。
ゴール・チャンス創出回数・デュエルからチーム内トップの数値を記録した選手を掲載中！
#W杯 #MEX #SWE 

↓スウェーデン代表はこちらから↓
https://t.co/M19fcXzIdK 

↓メキシコ代表はこちらから↓
https://t.co/n5TOITfgu5 https://t.co/CzYyYX2zso"
2018-06-29,14:13:53,900,@mash0806 ボスニア！なるほど、お互い国が近いし関係ありそうですね！イブラヒモビッチさん見た時にオスカーにソックリ！って思って調べたらまさかのスウェーデン代表でビックリでしたw ←知らなかった💦 オスカーもユニフォーム似合いそうですよね(๑˃̵ᴗ˂̵)
2018-06-29,14:03:52,900,元スウェーデン代表　リュングベリ、日本代表　岡崎慎司の誕生日は同じで４月１６日。https://t.co/Cy4onTX
2018-06-29,13:13:39,900,イブラがスウェーデン代表に“オレ流”エール「俺の方が上手い」 https://t.co/H7Ax3AhMD2
2018-06-29,11:27:29,900,ちがった。最も恐ろしいのはスウェーデン代表だった。
2018-06-29,09:34:28,900,スウェーデン代表にズラタン居た頃はズラタンにみんな気を遣いすぎてアレだったって話は聞いたことある
2018-06-29,07:14:54,900,ユーロベスト４、Ｗ杯３位を経験したスウェーデン代表ＦＷが語る…大舞台での成功に必要なこと  サッカー  サンスポ https://t.co/S3xqAzJUCF
2018-06-29,02:08:18,900,スウェーデン代表結構いいなあと思ったのが、ブラッドリー監督下のアメリカのように実に統率の撮れたサッカーをしているところ。見ていて美しい。カペッロが言っていたろ「ファンタジスタの時代は終わった」って
2018-06-29,01:50:58,900,ユーロベスト4、W杯3位を経験したスウェーデン代表FWが語る…大舞台での成功に必要なこと／独占インタビュー https://t.co/Y35SEopZwW
2018-06-29,01:46:09,900,"それにしても昨日のスウェーデンの３得点は見応えあった。
私はずっとスウェーデン代表を応援します！"
2018-06-29,01:36:11,900,スウェーデン代表、もうトイヴォネンしかしらんねやけど
2018-06-29,01:34:09,900,スウェーデン代表が一瞬ベガルタに見えた
2018-06-29,01:32:02,900,スウェーデン代表ユニ、IKEAカラーだ
2018-06-29,01:22:58,900,まぁ僕は正直イブラヒモヴィッチがスウェーデン代表引退してからどこのナショナルチームも贔屓で見てないからふつーにアレでしたって感じ
2018-06-29,01:04:24,900,個人的には日本代表もスウェーデン代表も決勝トーナメント行ってくれたから大勝利なんだ
2018-06-29,00:21:49,900,@wnpa84268426 スウェーデン代表はいつもどのイケメンをゴリ推しするか迷うわ〜(๑  ᷄ω ᷅ )
2018-06-28,23:52:57,900,スウェーデン代表の時とは打って変わって静かです
2018-06-28,23:27:49,900,（ななな何か僕もユニフォーム着た方が良いのかな？）って事で、元スウェーデン代表選手のサインがされた清水エスパルスのユニフォームを着て日本代表戦を見ています。
2018-06-28,22:27:39,900,スウェーデン代表がグループFのグループリーグで首位通過！！
2018-06-28,22:26:34,900,スウェーデン代表が勝利したので、はずれ！！
