date,time,timezone,tweet
2018-06-29,23:56:53,900,@Mizuki_ASKR @cpakiyo スペインサッカーがお好き。造詣が深いとは違う？ニッポン代表がフェエプレーではないかの如き、記述がありましたが、仮に同じ状況なら、スペイン代表は、どのように対応したと思いますか？
2018-06-29,23:53:40,900,イエロ 「フィジカルではない」、スペイン代表の“スタイル”を語るhttps://t.co/D2IsiWEVhZ https://t.co/C2pOzYhBiM
2018-06-29,23:51:14,900,イングランド代表側は優勝候補はスペイン代表だけ！！ベルギー代表側は優勝候補ばかり！！□「イングランドはベルギーに敗れ、勝利を手にした」　G組首位に待ち受ける苦難の道程（Football ZONE web） - Yahoo!ニュース https://t.co/k0r0wWdW8J @YahooNewsTopics
2018-06-29,23:50:16,900,"【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/SuljCQSVwj
ほーぅ"
2018-06-29,23:50:07,900,"#日テレ 女子アナ軍団　「イニエスタ有働」の移籍に戦々恐々
https://t.co/17vbe1yKhP
　フリーに転じ10月から日テレの『 #NEWSZERO 』を担当するのが #有働由美子 （49）。Jリーグにやってくるスペイン代表・イニエスタさながらの“大型移籍”に、#日テレ の #女子アナ たちは戦々恐々だ。 https://t.co/FbNnr6TZka"
2018-06-29,23:47:24,900,これはすごいね / 【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り (スポーツ報知) #NewsPicks https://t.co/xqfHTj1EQy
2018-06-29,23:43:10,900,"@CDmyokprMm7dV6Y あまり興味がないのか⁉️何処のテレビ局のニュースですら取り上げられていないのが、不思議で仕方ない‼️
実績は、申し分ないにもかかわらず‼️
#イニエスタ の時のような取り上げられ方が全然ない‼️なんでだろー😢
#Fトーレス   
#スペイン代表"
2018-06-29,23:41:59,900,"アツすぎる。。。
【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/JhzYiqerrb"
2018-06-29,23:40:26,900,"そうなるとスペイン代表の後半は実質 The Raven Autarchy のロシア公演やないか
すごいことに気付いてしまった"
2018-06-29,23:33:45,900,"トーレス師匠も来るのか！Jリーグ始まった。
これは勝者

【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/IxVE4KuMok #報知 @SportsHochiさんから"
2018-06-29,23:33:23,900,"番組ではアルゼンチン代表🇦🇷が来ると予想しましたが、現状クロアチア代表🇭🇷が凄い。

９６年、９８年以来の大躍進に期待しています。

前回のEUROでスペイン代表🇪🇸に惜敗をしていますが、今大会は更に覚醒しそう。

ウルグアイ代表🇺🇾は無失点で抜けて来ましたね⚽️

いざ決勝トーナメント！！ https://t.co/qDl9kRbh24"
2018-06-29,23:30:31,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/cuBWomz5US
2018-06-29,23:22:24,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/IRC1Blsd2t @YahooNewsTopics
2018-06-29,23:21:40,900,"ktkr！
サガン鳥栖が元スペイン代表FWフェルナンド・トーレスと基本合意　年俸7億5千万円の3年契約 | ドメサカブログ https://t.co/vaw4lBcqYM"
2018-06-29,23:21:14,900,"これはほぼ確定？

元スペイン代表サッカー選手「フェルナンド・トーレス」がサガン鳥栖移籍で基本合意！7億5000万円の3年契約！　神戸戦でイニエスタとの対決が実現へ https://t.co/nvuZ19yJE6"
2018-06-29,23:17:16,900,"スペイン代表のフェルナンド・トーレスもJリーグ来るらしいです！

スペイン代表MFのイニエスタに続き
今度はFWトーレス

Jリーグのゴール・アシストランキングはスペイン代表に奪われそうです。笑"
2018-06-29,23:15:39,900,【スペイン代表選手評価】肝を冷やしたスペイン 軒並み低評価https://t.co/MBKft6yn62 https://t.co/BVGcg0OM1r
2018-06-29,23:15:06,900,"速報

スペイン代表23人 https://t.co/dgY7O1NBCM"
2018-06-29,23:14:56,900,"フェルナンド・トーレス

スペイン・フエンラブラダ出身。
イングランド・プレミアリーグのチェルシーFC所属。
スペイン代表！

そのセクシーな流し目で次々と女性を虜にしちゃう♡

　 https://t.co/Pdf98vNP0i"
2018-06-29,23:10:54,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り (スポーツ報知) #NewsPicks https://t.co/MesMAaKRYw
2018-06-29,23:02:51,900,EURO2008でスペイン代表のサッカーに魅了されまくって、スペインサッカーに魂を売ることになったんだよね～(*´-`) https://t.co/g03jIkyZFP
2018-06-29,23:02:12,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/wb8SSvhCpq
2018-06-29,23:01:55,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/Np8EQ58LF1 @YahooNewsTopics
2018-06-29,22:59:35,900,Jリーグ凄いな / 【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り (スポーツ報知) #NewsPicks https://t.co/4MuEk2k6h4
2018-06-29,22:46:49,900,"Ｆトーレス、鳥栖と合意！
https://t.co/JQCs0trRQW
リバプールで人気を不動のものとし、チェルシーでは欧州ＣＬを制覇。スペイン代表でも１０年Ｗ杯南アフリカ大会で初優勝に貢献し、１２年欧州選手権では得点王…甘いマスクで女性ファンも多く、移籍が実現すればフィーバーが巻き起こることは必至"
2018-06-29,22:45:42,900,スペイン代表のユニポチったぞ！😙
2018-06-29,22:42:21,900,"【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/HVn8WZRs4M
マジか！！！
フェルナンド・トーレスマジで #サガン鳥栖 でプレイするのね😍
#ヴィッセル神戸 のイニエスタと言い嬉しいわ😆
#Jリーグ"
2018-06-29,22:39:41,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/mcnzMzxn2U
2018-06-29,22:32:22,900,トーレス！ / 【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り (スポーツ報知) #NewsPicks https://t.co/rJFe890X1O
2018-06-29,22:30:10,900,ほんとかな！！？？　サガン鳥栖が元スペイン代表FWフェルナンド・トーレスと基本合意　年俸7億5千万円の3年契約 | ドメサカブログ https://t.co/rOonJ8fwwl
2018-06-29,22:29:25,900,イケメンが来るね:【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/idNNyTPbHg @YahooNewsTopics
2018-06-29,22:25:43,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/w42ZDOEnSw @YahooNewsTopics
2018-06-29,22:24:57,900,"Jリーグ始まったな！！

【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/w42ZDOEnSw @YahooNewsTopics"
2018-06-29,22:17:51,900,【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り https://t.co/pV8ASmRqzW #スマートニュース
2018-06-29,22:12:43,900,【朗報】元スペイン代表フェルナンドトーレスさん、ひっそりとサガン鳥栖へ移籍 https://t.co/YdQwk6OApw
2018-06-29,22:12:09,900,"【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り : スポーツ報知 https://t.co/wFsO19hI37
鳥栖がなんでそんな金持ってんの？と思ったら放映権料か…ほんまNPBはクソやな←"
2018-06-29,22:08:47,900,"元スペイン代表サッカー選手「フェルナンド・トーレス」がサガン鳥栖移籍で基本合意！7億5000万円の3年契約！　神戸戦でイニエスタとの対決が実現へ 
https://t.co/tWOZJfFHoP

ｍｊｋ！
こっちもすげえ！"
2018-06-29,22:08:42,900,"【鳥栖】フェルナンドトーレスと大筋合意　推定年俸８億円　イニエスタに続き元スペイン代表Ｊリーグ入り（スポーツ報知） - Yahoo!ニュース https://t.co/kjFJk4uWaQ @YahooNewsTopics

さて外国人選手誰が放出されるかな"
