date,time,timezone,tweet
2010-06-25,18:59:51,900,@HIRONAGA1972 スロバキア代表・眉毛でググりましたが，成果なし．でもニュース映像で強烈な眉毛の持ち主が一瞬映るのを確認．
2010-06-25,17:50:18,900,18:00 NHK衛星第一 FIFAワールドカップグループF#41 スロバキア代表-イタリア代表
2010-06-25,13:54:06,900,スロバキア代表のGKコーチが元レッズのミロとの情報をゲット ホンマでっか？！#reds
2010-06-25,09:41:05,900,いやぁ、守りの堅いチームから三点もとって勝つとは思わなかったね。スゴいぞ！スロバキア代表。
2010-06-25,08:47:34,900,@onpuu あんな身震いする反撃はベイスターズには無理。スロバキア代表とすべてのスロバキアサポーターは１―２になった瞬間に凍り付いたはず。
2010-06-25,08:20:04,900,"試合日程を更新 オランダ代表,スロバキア代表,パラグアイ代表,日本代表 http://soccer.phew.homeip.net/schedule/match/list/"
2010-06-25,03:59:28,900,【動画】スロバキア×イタリア[Wカップ2010]: 2010年6月24日のFIFAワールドカップ2010南アフリカ大会/グループリーグ、スロバキア代表vsイタリア代表戦のユーチューブ速報映像です。試合結果は3 - 2でスロバキアが… http://goo.gl/fb/kA0wS
2010-06-25,03:46:54,900,１次リーグ敗退… RT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,03:16:51,900,イタリア負けてやんの！！誰かさん、今頃へこんでんのかな？？RT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:37:56,900,"アズーリ陥落。。。
今大会は波乱だらけだなぁ。RT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010"
2010-06-25,01:17:28,900,"イタリア、スロバキア激戦すぎでした。。それを制したスロバキアは素晴らしかった!!この試合でファンになった方もいるんではないでしょうか。そんな方へ、スロバキア代表のユニフォームはこちらです→http://bit.ly/cznXes　#wsk_wc ""2010wc #ita #svk"
2010-06-25,01:13:29,900,えーっ！ RT @jfa_samuraiblue: 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:07:26,900,イタリア負けたのかぁ。１次リーグ敗退とは・・・。 RT @jfa_samuraiblue:　【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:04:29,900,イタリアが死んだ。。。カテナチオも崩壊。。。 RT @jfa_samuraiblue: 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:03:11,900,フランスに続き、イタリアもさよなら。波乱の大会ですね。この流れでデンマークに勝つのを期待してますRT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:02:48,900,イタリア負けた…てかスロバキア代表結構いい試合してたな～、次回大会の世代交代したイタリアはどうなるかな～
2010-06-25,01:01:45,900,なんだこれ？ RT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,01:01:06,900,そういえば元スロバキア代表だ。彼は今どうしているんだろう…？ QT @akashatsu: スロバキアおめ  マレクも喜んでいることだろう
2010-06-25,01:01:04,900,RT @jfa_samuraiblue 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010 イタリアが負けるのぉ！？
2010-06-25,00:59:04,900,イタリア負けちゃったの;; RT @jfa_samuraiblue: 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,00:58:35,900,寝ずに見てて良かった(o·v·o)盛り上がる試合だった♪(o^-^o) RT 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,00:58:09,900,しかし，こんな弱いイタリア代表とWCで対戦できるスロバキア代表はラッキーだったね。一時的に弱いとしてもイタリア代表を破ったという歴史的事実は燦然と輝く。#wsk_wc #2010wc
2010-06-25,00:57:42,900,あらー。 RT @jfa_samuraiblue: 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,00:56:49,900,RT @jfa_samuraiblue: 【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,00:55:23,900,【グループＦ】試合終了　スロバキア代表　3-2　イタリア代表 #jfa2010
2010-06-25,00:50:30,900,01:00 NHK衛星第一 FIFAワールドカップグループF#41 スロバキア代表-イタリア代表
2010-06-25,00:34:08,900,スロバキア代表のメンバー表みたが、ＷＳ検で一人も見た記憶がないな　無理もないが
2010-06-25,00:19:43,900,スロバキア代表のキャプテンが凄いPUNK！！」
2010-06-25,00:06:54,900,スロバキア代表、TATOOあり。
2010-06-25,00:04:29,900,仏に続いて伊もか？逆に言えば日本のチャンスか！？ RT @jfa_samuraiblue: 【グループF】前半終了　スロバキア代表　1-0　イタリア代表　#jfa2010
2010-06-25,00:00:13,900,【グループF】前半終了　スロバキア代表　1-0　イタリア代表   イタリアのカテナチオはなくなったのか？！
2010-06-24,23:55:34,900,う～んどうしたアズーリ... RT @jfa_samuraiblue: 【グループF】前半終了　スロバキア代表　1-0　イタリア代表　#jfa2010
2010-06-24,23:54:41,900,RT @jfa_samuraiblue: 【グループF】前半終了　スロバキア代表　1-0　イタリア代表　#jfa2010
2010-06-24,23:48:45,900,【グループF】前半終了　スロバキア代表　1-0　イタリア代表　#jfa2010
2010-06-24,23:18:04,900,サッカースロバキア代表のゴールキーパーがイケメン。嫉妬。
2010-06-24,22:41:19,900,@ymd95 スロバキア代表の選手が何か黒歴史ノートのRPGキャラのようです＞http://southafrica2010.yahoo.co.jp/team/detail?t=240
2010-06-24,22:20:22,900,22:25 スカチャンHD799[e2] FIFAワールドカップグループF#41 スロバキア代表-イタリア代表
