date,time,timezone,tweet
2022-12-02,23:02:19,900,"2002年日韓ワールドカップ以来の
決勝トーナメント進出を決めた
セネガル代表公式
グループリーグで
1試合も出場していない
バロ・トゥーレさんを
センターにしてします。 https://t.co/mh9hvUEmE3"
2022-12-02,19:55:57,900,"\\\ manko ///

#FIFAWorldCup 
#Quatar2022 
#セネガル代表 https://t.co/59idXTVy31"
2022-12-02,19:50:30,900,"パペ・マタル・サールがイングランド戦で成功を掴んでキャリアの飛躍を狙う

📝日曜日にイングランドが対峙するセネガル代表には見慣れた顔ぶれがたくさんいるであろう。しかし、おそらくプレーを見たこともなければ、聞いたこともないプレミアリーグの選手がいる。

https://t.co/0pRNgqyrqO"
2022-12-02,18:49:49,900,@spiupi_0455 次回はセネガル代表…ね(ﾐﾄﾏｧ
2022-12-02,16:03:03,900,モーリス・ンドゥール んとうる もおりす https://t.co/7oWZ9zeueL モーリス・ンドゥール（Maurice Daly Ndour、1992年6月18日 - ）は、セネガル・ティエス州出身のバスケットボール選手。ポジションはスモールフォワード。セネガル代表。…
2022-12-02,12:49:34,900,"スペイン・ドイツをGLで負かすようになるチームとロシア大会では引き分けたってことでセネガル代表の株もあがると思うんだよね、日本の歴史的勝利

コロンビア反則で10対11になったり、フェアプレーポイント差で色々あったりしたけど今回は紛れもなく実力を示してくれたので"
2022-12-02,11:38:06,900,"私が率いる祖国セネガル代表、そして4年前からの因縁のライバル日本代表が共に一次リーグを突破した。素直に喜びたい。我々が相見えるのは決勝戦とのこと。
日本代表にも是非ともそこまで上がってきて欲しい。カタールで楽しみにしてるよ。
　　　　　　　　　　　　　　　〜シセ"
2022-12-02,07:29:42,900,"サムライがやってくれました‼️
#ベスト16
#サムライ の目力がいいねー
私は日本と #セネガル を応援したい

2002年今から20年前の #WORLDCUP 観戦
あの時の盛り上がりは今でも鮮明に覚えている　

写真はセネガル代表ユニフォーム
私の思い出の品

#日本vsスペイン 
#FIFAWorldCup https://t.co/WVbfw0i6fP"
2022-12-02,06:42:00,900,なんか前回はGKがパンチングでセネガル代表のアシストをすることでTwitterとWikipedia が荒れたけど今回はいい意味で荒れてて面白い
2022-12-02,04:17:10,900,セネガル代表がフランス代表に勝利した歴史的な一戦の際は、ダカールがお祭り騒ぎだったという話だが、これ若干政治的な意味合いで見てしまう
2022-12-02,00:27:42,900,u17まではフランス代表だったけどフル代表無理そうなんでセネガル代表になります！とか言われて喜べるもんなのかね？
2022-12-02,00:02:11,900,"@tedukurianko セネガル代表、
イスマイラ・サールΣ(ﾟдﾟ；)

素晴らしい素材だ、、、
表現したい、、
 #1000人淳矢
 #ジーフォース https://t.co/yLZrpUrSnl"
2022-12-01,23:26:00,900,"シセ監督は今回もかっこいい…😂😆💓

#WorldCup2022
#セネガル代表 https://t.co/P3NG2tTPja"
2022-12-01,23:20:00,900,"📣＜業務連絡

セネガル代表のサポーターの方
この画像について何か説明を… https://t.co/Rgq581VL92"
2022-12-01,22:53:42,900,"【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道
 https://t.co/OFuxHIsf1x"
2022-12-01,22:42:14,900,【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道(FOOTBALL ZONE) https://t.co/Hnm5r0at9g
2022-12-01,22:33:16,900,"【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道

エクアドル戦前日の会見でセネガルの選手が出席せずカタール・ワールドカップ（W杯）はグループリーグ最終...
https://t.co/7EFINip9rH"
2022-12-01,22:26:19,900,イスマイラ・サール（セネガル代表FW）
2022-12-01,22:25:01,900,"【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道
 https://t.co/LLPpaGzWPE"
2022-12-01,22:22:48,900,"夢みたいだ…だが、ミラクルではない。
　　（ブルーノ・メツ／サッカーセネガル代表監督：Ｗ杯で優勝候補フランスを破って）"
2022-12-01,22:20:08,900,【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道 / #FOOTBALL ZONE https://t.co/8e8pjs7YLm
2022-12-01,22:17:02,900,【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道 https://t.co/v5Jmbw5pNZ
2022-12-01,22:16:55,900,"【W杯】セネガル代表が“罰金第2号”の可能性　グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道
 https://t.co/g6yPX6VFtt"
2022-12-01,22:16:09,900,"🇶🇦#カタール・ワールドカップ🇶🇦

セネガル代表が“罰金第2号”の可能性🤔　

グループリーグ最終戦の前日会見に選手欠席…FIFA規約に違反と英紙報道

#FIFAWorldCup ＃セネガル代表

https://t.co/xEtDhPyRcr"
2022-12-01,21:27:44,900,吹奏楽部のシセ先生（セネガル代表監督）、カタールが暑すぎるせいか、スーツではなくパーカーにキャップというお姿で、あまり吹奏楽部の先生が感じられず残念
2022-12-01,20:19:09,900,"②2022年ワールドカップでセネガル代表の試合当日の街の様子
③ビーチでサッカーする子どもたち：子どもたちがサッカーをする様子はいつでもどこで

#jwave #jamtheplanet #FIFAWorldCup #サッカーワールドカップ #セネガル #ダカール #アフリカ https://t.co/QwzxbEmhNZ"
2022-12-01,18:54:09,900,"パぺ・ブバ・ディオップが2年前に亡くなったことを知る

レジェンドの逝去から2年…セネガル代表サポーターがディオプ氏を追悼(SOCCER KING)
#Yahooニュース
https://t.co/eCZhSL7Zt6"
2022-12-01,18:03:30,900,サバリ、そしてセネガル代表、@FIFAWorldCup_JP ベスト16進出おめでとうございます🎉㊗️ https://t.co/CaQ2InJAqP
2022-12-01,17:14:30,900,「イケメン」話題のW杯セネガル代表監督、世界的ラッパーに激似？　本人まさかの反応に60万いいね  https://t.co/NX92gzF1IW https://t.co/fXYubnEtSd
2022-12-01,17:13:35,900,@kochanhrv1 シセ監督は2002年日韓ワールドカップの時はセネガル代表のキャプテンでした。カッコイイですよね♪サウジアラビア代表の監督もダンディで有名です。 https://t.co/GTie99GDby
2022-12-01,15:15:29,900,"【商品情報】渋谷店
【2002】#イングランド代表

#ロビー・ファウラー 氏🏴󠁧󠁢󠁥󠁮󠁧󠁿

このアウェイモデルが初着用されたイタリア代表戦の刺繡入り☆

イングランド代表はカタールW杯決勝トーナメント初戦でセネガル代表と対戦★

ご購入は渋谷店･オンラインショップで➡ https://t.co/kdbuB6ZIJw

#ENG #LFC https://t.co/CHiINF0tT0"
2022-12-01,12:02:24,900,"カタールW杯グループA最終節、エクアドル代表vsセネガル代表のコラムを書きました。読んで下さると嬉しいです。記事のリンクは、このツイートのリプ欄に載せておきます。

成功したE・バレンシア封じ。セネガルが緻密な攻守でエクアドル撃破【W杯試合分析】（Football Tribe）
↓↓↓↓↓"
2022-12-01,02:35:29,900,"アリウシセが好き！
ずっと好きだー！
かっこいい！セクシー！

 #セネガル代表 #シセ監督 #ワールドカップ2022"
2022-12-01,00:13:41,900,"セネガル代表のメディカルチームがジワるw

#ワールドカップ2022 #フランス代表 #オーストリア #フランス #デンマーク #W杯 #速報 #ムバッペ https://t.co/dvgjTutkw4"
2022-11-30,23:27:34,900,セネガル代表監督がリコリコのミカで草 https://t.co/VMa63tgRq9
2022-11-30,23:14:53,900,"【速報】セネガル代表…なんとエクアドルに勝利して20年ぶりに決勝T進出キターー！！ｗｗｗｗｗｗｗｗ : サカサカ10【サッカーまとめ速報】 (記事コメント - 1)
後半38分くらいのセネガルDFかっこよすぎる https://t.co/Wki5drq74M"
2022-11-30,22:04:59,900,"ワールドカップ、グループAエクアドルvsセネガル。
勝ち抜けを懸けた両チームによる激突はセネガルが2‐1と難敵エクアドルを下してトーナメント行きを決めた。
どちらも国を背負った覚悟を見せる熱戦。
エクアドルはここまで前評判を覆す戦いぶり。
＃ワールドカップ
＃エクアドル代表
#セネガル代表"
2022-11-30,22:03:07,900,日韓W杯のパンフ見たらセネガル代表にシセ監督いた。あとフランスもテュラム父とカメルーンの監督とかイングランドの監督も https://t.co/jUKzYg0luH
2022-11-30,21:37:50,900,"@ASAHIMAN2010 TST4 チケットの意味
成る程なぁ～と
わかりました‼️

#FooTravelleR #ワールドカップカタール2022 #サッカー日本代表 #セネガル代表"
2022-11-30,20:45:10,900,"#サッカーワールドカップ 
観ていて楽しい
セネガル応援団
おめでとうセネガル

#セネガル 
#セネガル代表 https://t.co/EI7I9yXYfl"
2022-11-30,20:22:47,900,"夢みたいだ…だが、ミラクルではない。
　　（ブルーノ・メツ／サッカーセネガル代表監督：Ｗ杯で優勝候補フランスを破って）"
