date,time,timezone,tweet
2018-06-29,23:24:22,900,"ワールドカップのデンマーク代表にとても好みの人を見つけてしまい…
か、かっこいい…
髪の長いセクシー系の人が好きだから…"
2018-06-29,22:59:18,900,@TM0475245 デンマーク代表がんばろか
2018-06-29,18:33:42,900,【懐かしのJリーガー】横浜マリノス　ディアス　1959年8月29日生まれ（アルゼンチン）。デンマーク代表　トマソンと同じ誕生日です。https://t.co/XzMamX3h2k
2018-06-29,18:19:39,900,"スポーツ 
1992年に行われたUEFA EURO 1992でデンマーク代表が達成した珍しい記録は何？ 

繰り上げ出場からの優勝"
2018-06-29,17:46:09,900,"デンマーク代表がその王座を保持しているUFWC（サッカー非公式世界王者）のWikipediaがめっちゃ詳しくて面白い。

https://t.co/F2RCrnaezQ"
2018-06-29,17:25:13,900,【デンマーク代表対フランス代表先発メンバー】https://t.co/p3806aSE9z https://t.co/yaZHiNcpUY
2018-06-29,12:22:07,900,"( デンマーク代表 87 - 01 )
2018 PANINI  PRIZM RUSSIA
「PETER SCHMEICHEL」( ピーター・シュマイケル ) オート。 https://t.co/gOfcMBjfSA"
2018-06-29,10:56:20,900,【デンマーク代表対フランス代表先発メンバー】https://t.co/wz4bzjcYLc
2018-06-29,10:41:49,900,＼デンマーク代表に興味出てきた？！／ https://t.co/QMcCooyLIG
2018-06-29,10:24:36,900,ロシアW杯1次リーグ突破なるか？　運命を決めるデンマーク代表のイケメン選手権ELLEgirl https://t.co/WX2S8CPJCQ
2018-06-29,10:19:56,900,"@canter950 めちゃ元気でました笑
デンマーク代表可愛いですね"
2018-06-29,10:09:04,900,私のデンマーク代表はここから( ◜◡◝ )
2018-06-29,10:00:18,900,赤ちゃんごっこするデンマーク代表シストとヨルゲンセンを置いとくね( ◜◡◝ ) https://t.co/ymmmhDF1rA
2018-06-29,09:50:17,900,ロシアW杯1次リーグ突破なるか？　運命を決めるデンマーク代表のイケメン選手権（ELLEgirl） - Yahoo!ニュース https://t.co/ZEelynfomY @YahooNewsTopics
2018-06-29,09:41:34,900,ロシアW杯1次リーグ突破なるか？　運命を決めるデンマーク代表のイケメン選手権ELLEgirl https://t.co/sYo2vZKokS
2018-06-29,09:41:32,900,ロシアW杯1次リーグ突破なるか？　運命を決めるデンマーク代表のイケメン選手権ELLEgirl https://t.co/yK81APt28m
