date,time,timezone,tweet
2018-06-29,23:39:49,900,"サッカーないから久しぶりに早く寝れる。寝れるのは嬉しいけどやはり試合が見たい。明日はいよいよフランスの決勝トーナメント。
明日の夜は、勝って気持ちよく眠りにつきたいもんだ。

 #フランス代表 #ワードカップ2018"
2018-06-29,23:14:32,900,"W杯見てるとユニフォームに国ごとの特徴が出てるから推しに着せたイラスト描きたいよね
sideMのワートレで行った国とかで
例としてフランス組にフランス代表のユニ着てこんな感じの絵とか https://t.co/ZdBkOiC3SE"
2018-06-29,22:13:06,900,"フランス代表2018ホームモデル。
ポグバのマーキング。
ベースはネイビーとして、トリコロールを差し色に使うオシャレなデザイン。マーキングには亀甲のような模様が。

#WorldCup
#France
#FRA
#pogba
#nike
#サッカーユニフォーム
#俺のユニフォーム
#ユニフォーム自慢
#オシャレユニフォーム https://t.co/MMUwNcSj4C"
2018-06-29,22:11:40,900,@0728takahashi @TwitterJP フランス代表のピエールの「スライダーシュート」です！
2018-06-29,21:58:45,900,フランス代表を応援します！今102人がこのチームを応援しています。人気ランキングは11位です！一緒にフランス代表を応援しましょう！ #NewsJet  https://t.co/ei610srBBA
2018-06-29,21:54:21,900,ローラン・ブラン　(元フランス代表)「マンチェスター・ユナイテッドは私が生まれる前から存在していたクラブ。　だから私が居なくなっても、変わらずそこ にあり続けるだろう」
2018-06-29,21:42:16,900,北野武（ビートたけし）は数年前のオリンピック中継に際して、「フランスのオリンピック中継ってのはフランス代表の選手ばっかり映してんのな！あれほど自分勝手な国はないと思ったね」と語っていたが、ここがフランスの強みなのである。頑としてフランス語以外は受け付けない。このスタンスが重要だ。
2018-06-29,21:41:00,900,"ダイジェストでフランス代表の監督が一瞬移ったときに、

デシャンじゃん！

とすぐにその名前が出てきたことに喜びよりも歳を重ねた事を思い、微妙な感じなんだよ。"
2018-06-29,21:36:14,900,@chaafan @eryk_h888 ちゃーはんと一緒に渋谷でフランス代表二人応援歌ニキしたい
2018-06-29,21:18:43,900,蘭丸「ジャンヌ…1800年頃のフランスはな、大変だったんだ。ジャンヌ…フランスはな、ウィーン会議でフランス代表タレーランが正統主義を提唱してから7月革命とか2月革命とかで共和制になったり帝政になったりするんだジャンヌ…」狩屋「先輩、ジャンヌジャンヌうるさいです」
2018-06-29,20:57:48,900,しかし今年の決勝トーナメントは、「思わぬ国がスルスルと勝ち上がっていく」ような気がしてならない。勿論フランス代表には順当に勝ち上がってほしいですが～（*^_^*）
2018-06-29,20:49:26,900,"ユベントスはアンソニー マルシャルの獲得を移籍金ゼロで狙う
フランス代表アタッカーを1年延長か（Tuttosport) https://t.co/jIx0Fo6uA8"
2018-06-29,20:19:05,900,"ワールドカップ
最初から気にしている国はフランス
メンツが素晴らしいフランス代表
フランス代表には頑張ってもらいたい"
2018-06-29,20:18:23,900,"@0728takahashi フランス代表！
ピエール君とナポレオン君の
「エッフェル塔攻撃」
スライダーシュート、キャノンシュートもあり！"
2018-06-29,20:02:03,900,"@Lotus_pe フランス代表🇫🇷
トッテナムの正GKです🙋‍♂️"
2018-06-29,19:59:44,900,"'18.6.29

今回のW杯に向けて購入したユニフォームの最後の１着がやっと届いた〜！

フランス代表のグリーズマンのネーム・番号入り〜(◍⁃͈ᴗ•͈)४४४♡*
明日のアルゼンチンとの一戦の前に届いたよ〜(●… https://t.co/wy9cpZn9MW"
2018-06-29,19:59:35,900,"7月から、国際交流委員として山中湖村役場に就職ことになりました！

グローバル化への対応が問われる住民の方々への貢献は勿論ですが、村を中心に展開される東京五輪、そして村と契約を結んだフランス代表の歓迎にも関わらせて頂きます。

楽しみと心配で心が半々ですが、新しい生活が始まります！ https://t.co/Q0mBdTyrjd"
2018-06-29,19:37:32,900,サッカーフランス代表がゴール後パフォーマンスでFortniteのエモートするの好き https://t.co/tAfv7XNmhD
2018-06-29,19:36:03,900,どうしよう、自作ユニフォームよりフランス代表ユニフォームのが圧倒的にかっこいい
2018-06-29,19:26:57,900,うわうわドイツ代表とかフランス代表ユニフォーム取れるじゃん最高
2018-06-29,19:24:41,900,試合があれば必ず勝者と敗者が決まります。ただ、本当の勝者というのは試合の直後ではなく、その後の人生で決まるのではないでしょうか。　　ジディティーヌ・ジダン（サッカーフランス代表）
2018-06-29,19:07:08,900,フランス代表のカンテは見聞色の覇気が使えます
2018-06-29,19:03:55,900,@y3ykyotaroy3y アトレティコって普通にスペインの超強豪だよ。レアルとか、バルサと優勝争いしてるしね。グリーズマンとかはフランス代表でも活躍する世界トップクラスのエースストライカーだし、フェルナンドトーレスも有名中の有名だし。チャンピオンズリーグって知ってる？
2018-06-29,18:34:31,900,U-21フランス代表CBって肩書きだけで恐ろしい有望株に聞こえる
2018-06-29,18:15:25,900,"フランスでも「ガリカ」（ガリアの）という言葉は使われています。
サッカーフランス代表のエンブレムが雄鶏なのはラテン語で雄鶏を「ガリカ」というため。 https://t.co/KTDOTOFgm7"
2018-06-29,17:51:07,900,"ラビオ（タコ）
「後は任せた、兄弟…」

ラビオ（PSG、フランス人）
「兄さんが釜茹での刑に処されてしまった…悲しいけど兄さんの遺志を継いで絶対にフランス代表をW杯優勝に導いてみせる！」
#帰ってこいラビオ 
#ワールドカップ2018 https://t.co/ZHlss8M2aN"
