date,time,timezone,tweet
2018-06-29,23:51:16,900,"いつの間にか、ブラジル代表スカッドできてた
残りの2枠はダヴィド ルイスとアリソンです
#ウイイレスマホ https://t.co/qElbmCXth1"
2018-06-29,23:48:30,900,"@yukimuraGOLF なんですってΣ（・□・；）

まぁ…

今回は流石にブラジル代表🇧🇷の準備してないです（笑）"
2018-06-29,23:42:48,900,"@yukimuraGOLF 自分は白系、黒系を入れてますねー

青系パンツでブラジル代表🇧🇷でもいいかも（笑）"
2018-06-29,23:41:15,900,"元ブラジル代表のレジェンド

ロベルト・カルロスの伝説のフリーキック⚽

https://t.co/GtjdwGS1IQ"
2018-06-29,23:34:11,900,"サッカー西野ジャパンの海外評価①

https://t.co/eAxhvTcgob

#サッカー日本代表
#ロシアW杯 
#ブラジル代表 
#チッチ監督"
2018-06-29,23:33:21,900,"残念ながら筋肉のタイプは
遺伝で決まる。

これは速筋と遅筋の割合が、
一卵性の双子で同じであることから、
そう考えられる。

つまり、ハンマー投げの室伏選手や、
サッカーブラジル代表の
フッキ選手がこのような体格になることは、

生まれた時点でほぼ決まっていたわけである。"
2018-06-29,23:28:54,900,むしろ日本代表って泥臭さが無くない？？？前にネイマールに「ブラジル代表の俺達でさえ泥臭く攻めるのに、日本は弱いくせに格好ばかりつけてる」とか言われてたよね
2018-06-29,23:27:44,900,アルゼンチン代表の公式ツイッターがドイツ代表とかブラジル代表の垢をフォローしてて意外と大人の対応でちょっと草
2018-06-29,23:13:12,900,ブラジル代表監督 カルロス・パレイラ名言「なぜブラジルだけが美しいサッカーをしなくてはならないのか。ほかの国ではそんなことを言われないのに。きれいなサッカーをしても歴史に残らない。残るのは優勝したチームだけなんだ」
2018-06-29,23:11:20,900,"ツベでマルセロばっかり見ていた結果、マルセロ病になった・・・
かわいい・・・
プレイも好き。
#ブラジル代表 #Marcelo https://t.co/cqlbtqHy5h"
2018-06-29,23:10:05,900,@akari_hashimoto 大久保の後釜にリオネル・メッシ、ネットの後釜にブラジル代表（FCバルセロナ所属）のパウリーニョが来てくれないかなぁ…。
2018-06-29,23:03:57,900,元ブラジル代表　アレシャンドレ　パト、元コロンビア代表　ヴァルデラマの誕生は同じで、９月２日 https://t.co/21CtQ5IN
2018-06-29,23:01:27,900,サンパウロ州チャンピオンシップをかけた強豪との大一番でカズは元ブラジル代表のマークをフェイントで突破、パスを成功させヘディングをゴールへ突き刺し彼のゴールにより勝利！翌日新聞には大きな見出しとともに彼の物語が掲載された。『カラテ・キッドがサッカーを！』(日本式サッカー革命 抜粋)
