date,time,timezone,tweet
2018-06-29,23:59:39,900,ベルギー代表にA gonna売れてる https://t.co/Z13BBuYmWw
2018-06-29,23:59:36,900,"ベルギー代表への愛が止まらない。
あいらぶべるぎー

ベルギー応援します！
#ごめん日本 #ベルギー戦"
2018-06-29,23:59:35,900,“ベルギー代表監督が日本代表を警戒!?「日本戦は接戦になる」” https://t.co/pxpzdK3TUC
2018-06-29,23:58:58,900,"🇯🇵思いをツイート⚽
長友佑都「プロセスに後悔はない」…8強入りへ抱負「チームに全てを捧げる」

🔻記事はこちら
https://t.co/DyJMFNRQnv

🗣編集部より
「#日本代表 は7月2日、決勝トーナメント1回戦で #ベルギー代表 と対戦します」#WorldCup #JPN https://t.co/GeAwnplOJi"
2018-06-29,23:58:45,900,"@LOVEtakiwaki サッカー、ベルギー代表
アフロの選手ｗ"
2018-06-29,23:58:08,900,"ベルギー代表 マルティネス監督も、無能監督のハリルが解任されて日本は強くなったって
「ブルージュで日本と戦ったが監督が替わった。そこからチームは大きく変わった。とてもダイナミックなチームだ。オーガナイズされて、テクニックがある。日本の選手たちはとても強い。」"
2018-06-29,23:57:55,900,"@ryoma_peace うん！赤い悪魔←ベルギー代表の愛称！にもまけないで、ベスト8目指そう！！
そして、明日は、アルゼンチンvsフランスの副音声だよ〜😍

#TBSサッカー"
2018-06-29,23:56:27,900,ベルギー代表に平井堅いるやんけ！
2018-06-29,23:52:21,900,ベルギー代表の方が困難！！
2018-06-29,23:51:38,900,ベルギー代表監督が日本代表を警戒!?「日本戦は接戦になる」 https://t.co/sSfXLMyA8K
2018-06-29,23:51:14,900,イングランド代表側は優勝候補はスペイン代表だけ！！ベルギー代表側は優勝候補ばかり！！□「イングランドはベルギーに敗れ、勝利を手にした」　G組首位に待ち受ける苦難の道程（Football ZONE web） - Yahoo!ニュース https://t.co/k0r0wWdW8J @YahooNewsTopics
2018-06-29,23:49:51,900,ベルギー代表 バチュアイの珍プレー https://t.co/Lotk1KR4dt
2018-06-29,23:48:45,900,ベルギー代表監督が“日本無視”の記者の質問を制止　「理想的なシナリオを描けない」（Football ZONE web） - Yahoo!ニュース https://t.co/p04dVg42FU @YahooNewsTopics
2018-06-29,23:46:46,900,ベルギー代表、つくづくタレント揃いであまりに眩い
2018-06-29,23:44:56,900,ベルギー代表は確かにメンバーだけ見ると日本より遥かに上だがG組は極端な2強2弱のグループで実質唯一の敵だったイングランド戦は消化試合だったのでどれくらい強いのか計りかねる部分がある…と言うか3バックの真ん中ボヤタで本当にお前ら大丈夫なのか逆に不安でもある👿
