date,time,timezone,tweet
2010-06-26,23:56:14,900,@sgrxx デコっちググったらポルトガル代表みたいなのでやんわりチェックしてみようと思います
2010-06-26,22:58:22,900,ファビオコエントロンって、ポルトガル代表のDFなんだけど、かっこよすぎやわ～！ラウールメイレレスもおすすめです★
2010-06-26,22:10:49,900,さっき、外で夕食してたとき。横をポルトガル代表ユニを着た男性が通った。ふと後ろ姿を見ると、「10 RUI COSTA」と書かれていた。妙に感動した。
2010-06-26,21:51:33,900,kemu_makiはポルトガル代表監督となり、相手のミスを誘うサッカーでＷ杯を目指しますが、チーム内紛争に苦しみ、最終的に健康障害のため途中解任されます。 http://shindanmaker.com/28803
2010-06-26,20:35:00,900,@kerokero_club 私はポルトガル代表が気になります
2010-06-26,20:29:44,900,ポルトガルは今まで見たポルトガル代表の中で一番軸がしっかりしてるような気がする。スペインとどっちが上かって言われたら正直微妙なんだけど、グループリーグでの充実ぶりを考えたらこっちかな。
2010-06-26,16:31:18,900,ポルトガル代表  http://nav.cx/gh1lT3
2010-06-26,16:31:17,900,ポルトガル代表  http://nav.cx/5oTaD2
2010-06-26,16:31:16,900,ポルトガル代表  http://nav.cx/XGKCV8
2010-06-26,16:27:17,900,【サッカー】バイエルン、ベンフィカ所属のポルトガル代表コエントラン獲得でクラブ間合意か http://dlvr.it/22zrX
2010-06-26,15:58:10,900,【サッカー】バイエルン、ベンフィカ所属のポルトガル代表コエントラン獲得でクラブ間合意か http://www.2nn.jp/mnewsplus/1277535478/
2010-06-26,15:40:48,900,ポルトガル代表DFファビオ・コエントラン、バイエルン移籍で合意。2週間前に1500万ユーロを提示して断られていたが…ポルトガルも課題だった左サイドバックにいい選手が台頭しましたね！積極的なオーバーラップと高精度のクロスに惚れました！ソースはGoal.com
2010-06-26,15:14:57,900,"出してやりたかった。
ポルトガル代表デコのブラジル戦欠場がほぼ確実に 
http://j.mp/alpQR0"
2010-06-26,13:28:14,900,ポルトガル代表コエントロン男前やあ～
2010-06-26,12:56:37,900,ポルトガル代表に小島よしお似がおる(゜3゜)ノ
2010-06-26,12:51:42,900,なんでポルトガル代表に小島よしおがいるの？
2010-06-26,12:42:50,900,アルゼンチン代表はメッシに自由にやらせることを覚えたが、ポルトガル代表はたぶんそこまでできない。絶対的な FW がほかにいないから
2010-06-26,11:50:09,900,12:00 フジテレビ FIFAワールドカップグループG#45 ポルトガル代表-ブラジル代表
2010-06-26,11:28:06,900,なんかロナウド一人だけ浮いてる感じがするんだよね。ポルトガル代表内だと。なんでだろ。気のせいかな
