date,time,timezone,tweet
2022-12-02,20:31:49,900,ポーランド代表ロベルト・レヴァンドフスキの人生に欠かせない10のアイテム | 10 Essentials | GQ JAPAN https://t.co/PEShxDlmMQ @YouTubeより
2022-12-02,19:53:18,900,"@angata02 @9345p そうなんですよねｗ　ドイツ代表は
決定力が不足して、ポーランド代表は全体的に
毎回不足してる印象なので(^0^;)
いえいえ、私はハレの国です😃"
2022-12-02,18:02:44,900,"今年の夏にあったレバンドフスキ獲得説の報道を今更改めて持ってくるらしい。

まるでカタール・ワールドカップでキリアンがいるフランス代表とレバンドフスキがいるポーランド代表の対戦が決定したかのようなタイミングだ。
#FIFAWorldCup #WorldCup #Qatar2022 #FRAPOL #Mbappé #Lewandowski"
2022-12-02,12:44:06,900,"🇵🇱マティ・キャッシュ(ポーランド代表)

“試合後、エミマルティネスが僕のところに来て『キャシー、プレゼントがある』と言ってきた。ロッカーまでついていったら、僕のためにメッシのユニフォームを持ってきてくれたんだ。これ以上のことはないよ” https://t.co/asanHMqYqY"
2022-12-02,12:20:48,900,"フェデラー好きなレヴァンドフスキ

ポーランド代表ロベルト・レヴァンドフスキの人生に欠かせない10のアイテム | 10 Essentials | GQ JAPAN https://t.co/2iASeAkWnt @YouTubeより"
2022-12-02,10:14:36,900,"セルビア代表の宿泊ホテルでは出待ちしている方もいました
時間をかければサインは普通に貰えそうな感じではありました
本当に偶然ですが、他にはイングランド、ドイツ、ポーランド代表の宿泊ホテル、アルゼンチン代表の練習場も見ることが出来ました https://t.co/kbFI1yJ6NS"
2022-12-02,08:33:01,900,"今回のW杯で思ったこと。
各国エースがいるものの、そのエースの活躍はクラブならではのもの。
レバンドフスキーはブンデスで無双だったが、ポーランド代表では孤立。
チームのスタイル、総合力が必要なんだろうね。
そう言う意味では日本代表はスターは居ないけど総合力の強みが有る。
頑張れ日本🇯🇵👍"
2022-12-02,07:17:43,900,"@SHONO_14 ワールドカップ四天王全員、グループリーグ突破したな
アルゼンチン代表メッシ、ポルトガル代表ロナウド、ポーランド代表レヴァンドフスキ、日本代表モリヤース
SIUUUUUU
ケイスケホンダ「もうネイマールなんて全員覚えてないやろこれ」
#ワールドカップ https://t.co/KzrV4QuFyj"
2022-12-02,04:04:45,900,春ごろ支援活動中にご一緒した方でやたらとポーランド人から写真求められてる方がいて、「一体このおじさんは何者なんだ...?」と思った人がポーランド代表の監督だったのに、昨日の試合を見て気付いた😂😂😂
2022-12-02,01:07:20,900,"カタールワールドカップ
Cグループ
ポーランド代表0VS2アルゼンチン代表
前半ロスタイム3分
後半ロスタイム6分
合計9分のロスタイム
#FIFAWorldCup #QatarWorldCup2022"
2022-12-02,00:21:27,900,ポーランド代表コハノフスキのユニフォームをゲット！！アウェイの黒ユニしかなかったけど、個人的にレソビアは黒ユニの方がかっこいいと思う！！これは約4200円！ https://t.co/UNVcy6vhx0
2022-12-01,23:59:11,900,その一方でポーランド代表は○○スキばっか
2022-12-01,23:45:11,900,"ポーランド代表レバンドフスキ、メッシとストライカー対決もシュート放てず…試合は完敗
https://t.co/1AMSea0W3g
#スポーツ"
2022-12-01,23:45:03,900,"ポーランド代表レバンドフスキ、メッシとストライカー対決もシュート放てず…試合は完敗
https://t.co/HXWobwlj5H
#スポーツ"
2022-12-01,23:21:03,900,ポーランド代表・レバンドフスキ、決勝トーナメント進出報告にファンからは「おめでとう」「素晴らしいキャプテン」 https://t.co/OiuymRBZ4I #サッカー #soccer #football https://t.co/7i6wQZGwSU
2022-12-01,23:05:49,900,ポーランド代表オカネスキー
2022-12-01,23:01:49,900,"ポーランド代表レバンドフスキ、メッシとストライカー対決もシュート放てず…試合完敗

#ポーランド #ポーランドニュース
https://t.co/Z1oTxvWkhb"
2022-12-01,22:45:01,900,"Il Secolo XIX 現在ポーランド代表としてカタールにいるサンプドリアのSBベレシンスキには､ローマだけではなくユベントスも関心を示しています。
選手は両SBでプレー可能。
クラブでは右だが､代表では左でプレーする。"
2022-12-01,22:21:22,900,"@miwakokiritani あの頃は香川がドルトムントにいたため、日本でもよくニュースになってました☆

レヴァンドフスキは今回のワールドカップ、ポーランド代表の主将です。決勝トーナメント進出おめでとうです♬

アドベントカレンダーは、よく妻が子ども達に買ってあげてましたね😌懐かしいです。"
2022-12-01,22:15:43,900,"🙄秘密の賭け

#ポーランド代表 のGK #ヴォイチェフ・シュチェスニー が、#アルゼンチン代表 戦で相手の #リオネル・メッシ とある“賭け”をしていたことを明かした。

#カタールW杯 #Qatar2022 https://t.co/m2xraLTMBH"
2022-12-01,21:48:47,900,@skr_matsuri ポーランド代表っぽい😂😂😂
2022-12-01,21:38:32,900,"🇵🇱敗戦も笑顔😄

36年ぶりにW杯決勝トーナメント進出を決めた #ポーランド代表。百戦錬磨の #レヴァンドフスキ も初めての感覚を味わったようだ。

#カタールW杯 #Qatar2022
https://t.co/xt51D8tbYn"
2022-12-01,21:13:35,900,"深尾、岸、佐々木はポーランド代表くらいなんだよなピカル、チルト、エンドゥはスペインに失礼
ちなエンドゥは男子サッカー"
2022-12-01,21:08:18,900,メッシだけじゃない、アルゼンチン代表の若手が躍動…２４本のシュート浴びせてポーランド代表に快勝 https://t.co/trOJXIMZfK https://t.co/kn22QpLMLf
2022-12-01,21:08:11,900,ポーランド代表レバンドフスキ、メッシとストライカー対決もシュート放てず…試合完敗 https://t.co/R0Ju1fpnBF https://t.co/Y9vEfDdIoW
2022-12-01,19:59:24,900,"ポーランド代表ロベルト・レヴァンドフスキの人生に欠かせない10のアイテム | 10 Essentials | GQ JAPAN https://t.co/kIfH9F9VPc @YouTubeより

レヴィGQ出てるやん！"
2022-12-01,19:36:00,900,ポーランド代表レバンドフスキ、メッシとストライカー対決もシュート放てず…試合完敗 https://t.co/IYEUK6AkCw
2022-12-01,19:25:10,900,"メッシだけじゃない、アルゼンチン代表の若手が躍動…２４本のシュート浴びせてポーランド代表に快勝
https://t.co/VXrS7H1kES
#スポーツ"
