date,time,timezone,tweet
2018-06-29,23:46:11,900,"私は7/2に行われるW杯メキシコ対ブラジルの試合において、メキシコが勝利を収めた場合、
①メキシコ代表のユニフォーム購入 ②同国のエースであるハビエル・エルナンデス選手と同じヘアスタイルにすることを誓います。 https://t.co/HR0bltZ7A5"
2018-06-29,23:36:59,900,"@moonisland0316 そっ、そっ。
メキシコ代表にプレゼントしようと思って(笑)
https://t.co/00C3wcbQ6n"
2018-06-29,23:09:06,900,"1950年から1966年まで史上初のサッカーW杯5大会連続出場を果たした元メキシコ代表のGKはアントニオ・○○○○○？→カルバハル(正解率9％)
※問題文一行目「1982年」→アントニオ・「カブリーニ」　「1950年」アントニオ・「カルバハル」で見切り。"
2018-06-29,23:08:27,900,@y318u @kazuki0706 メキシコ代表選手が試合後にユニホーム交換した感じやな！
2018-06-29,22:58:00,900,"@iriyamaanna1203 ワールドカップは盛り上がってますか？
メキシコサポーター熱くて楽しいですね🌵⚽

#メキシコ代表
#W杯ロシア大会 https://t.co/9Km7jmzM7O"
2018-06-29,22:04:21,900,@megusta_beisbol @eryk_h888 メキシコ代表は？
2018-06-29,21:53:00,900,@mobo105 昨年のWBCメキシコ代表でチームメイトだった、「スシダイスキ」レアードが認めただけの事はあります。 https://t.co/TBtbjLNFzI
2018-06-29,21:50:28,900,さすがはナバーロ、WBC2017メキシコ代表の実力を見せ付けた。 #hanshin #tigerssikkari
2018-06-29,21:47:19,900,"新外国人のナバーロ（WBC2017メキシコ代表）、阪神タイガースでの1軍公式戦初打席は1死三塁のチャンスでタイムリー。
#hanshin #tigers"
2018-06-29,21:43:04,900,アメリカ人ナバロ（メキシコ代表）
2018-06-29,21:32:23,900,"今大会のメキシコ代表がやたら強いのはひょっとして
おっと誰か来たようだ"
2018-06-29,21:01:47,900,"アーセナルがメキシコ代表エクトル エレーラの獲得に関心
ロシアW杯でも活躍（Daily Mirror) https://t.co/QBzBRsaSq8"
2018-06-29,20:39:46,900,メキシコ代表監督がスウェーデン戦振り返る「戦術的に劣っていたとは思わない」https://t.co/6qQptfiWLZ
2018-06-29,20:38:54,900,メキシコ代表監督がスウェーデン戦振り返る「戦術的に劣っていたとは思わない」https://t.co/LKLzhQBcJh https://t.co/ugrtwV7w1W
2018-06-29,19:56:42,900,@comecome0ide 愛に溢れてたつもりがなかった笑 なんかありがとう！メキシコ代表の一部の人への愛を持って、ワールドカップ見てるよ！笑
2018-06-29,18:28:12,900,メキシコ代表の選手で似てる人がいるって言われて、この人！ってスマホを顔の横に並べて見比べられてたら横にいた知らんおばちゃんまで笑い出してめっちゃおもろかった
2018-06-29,18:17:21,900,"【商品情報】吉祥寺店 / 0422-79-3116
【2016】メキシコ代表 / ¥13,999

GKにもヘスス・コロナ選手がいますがこちらは今大会では17番を着用のヘスス・マヌエル・コロナ選手☆

コパアメリカでは5人抜きのスーパーゴールを披露☆

#worldcup⁠ ⁠⁠ #MEX⁠ #HereToCreate⁠ #吉祥寺 https://t.co/oHnBcHfGXI"
2018-06-29,17:16:41,900,@ryotax0828 日本韓国に連敗してたのにデービッドソン付きの世界的スター軍団をリフレッシュしただけで倒してしまうメキシコ代表まじ半端ない
2018-06-29,16:59:56,900,モメラス完売！おめでとう！横浜の青い鳥。私は北千住のメキシコ代表のユニホームを着た茶色い系のおじさん。 https://t.co/yToKAvgghp
2018-06-29,16:30:17,900,"恐ろしいほど韓国に感謝しまくるメキシコ、航空会社までもが突然「韓国愛してるセール」開催 https://t.co/ziD1XXan04
メキシコ代表の選手はどう思ってる？今回の両国の対戦での韓国選手の態度は許せるのかな？確かにメキシコ人にとってサッカーは生活の大切なもの。予選を突破できたのは大きいか。"
2018-06-29,16:04:45,900,"【#ロシアW杯】
GroupFは #スウェーデン代表 #メキシコ代表 が突破。
ゴール・チャンス創出回数・デュエルからチーム内トップの数値を記録した選手を掲載中！
#W杯 #MEX #SWE 

↓スウェーデン代表はこちらから↓
https://t.co/M19fcXzIdK 

↓メキシコ代表はこちらから↓
https://t.co/n5TOITfgu5 https://t.co/CzYyYX2zso"
2018-06-29,16:04:38,900,"それ以前に""ジンクス”に絡む事も出来ない中国代表・・ショボン(´・ω・`) --- ジンクスを破れなかったドイツ代表、ものすごいジンクスを継続したメキシコ代表＝中国メディア https://t.co/tKsrdTU633"
2018-06-29,16:01:03,900,【ロシアW杯】韓国ネチズン反応：メキシコ代表監督が韓国のラフプレーに処罰要求…ファール47回で本戦進出国最多 https://t.co/sCyyYQMqNn
2018-06-29,14:40:20,900,"グループリーグコロンビアめちゃくちゃ日本助けてくれたけど
WBC2006のメキシコ代表ほど衝撃的なものは無いと思う"
2018-06-29,14:24:51,900,"メキシコで空前の“韓国フィーバー”
決勝T進出アシストに感謝「もう君たちはメキシコ人だ」

#KOR
#韓国代表
#MEX
#メキシコ代表

⏬詳しくはこちら！
https://t.co/Zm3XT6Oegf"
2018-06-29,14:07:15,900,"メキシコ代表FWラウール・ヒメネスとお友達のWWEシン・カラ👽が東京を観光中😆

https://t.co/mbsvtuzAh2

#MEX #WorldCup #Qolyトリビア

https://t.co/NxoASmdDjU"
2018-06-29,14:02:00,900,"All good athletes make mistakes; the great ones learn to make that mistake only once.
いい選手は皆ミスをする。最高の選手は一度の失敗から学ぶ

メキシコ代表ラウル・ロペス"
2018-06-29,13:44:15,900,サポーターガールW杯 メキシコ代表がバズって来たから日本代表も貼っておきます(´∀｀*) https://t.co/J9OEoiD6SV
2018-06-29,13:24:08,900,“突破アシスト”へのお礼…メキシコ代表スポンサー、韓国大使館にビール贈呈 https://t.co/OpEWfnfBrA #ビール #メキシコ #韓国 #fifaworldcup2018 #ワールドカップ #EstrellaJalisco
2018-06-29,13:17:48,900,"メキシコ代表と日本代表には頑張ってもらって準決勝で両チームが対戦するという俺得なワールドカップにして欲しい(笑)

すまんが、そのときはメキシコ代表を応援するよ(^_^;)"
2018-06-29,13:11:30,900,「兄弟よ、もうあんたはメキシコ人だ！」総領事にテキーラ飲ませ、韓国大使館前で16強進出をお祝い【ロシアW杯】 | サッカーダイジェストWeb https://t.co/FmKdWks3hR #メキシコ代表 #RussiaWorldCup2018 #サッカーワールドカップ #サッカー好きな人RT #韓国大使館 https://t.co/JAaLQYHKgf
2018-06-29,13:10:25,900,「兄弟よ、もうあんたはメキシコ人だ！」総領事にテキーラ飲ませ、韓国大使館前で16強進出をお祝い【ロシアW杯】 | サッカーダイジェストWeb https://t.co/CtpX9j4JUm #メキシコ代表 #RussiaWorldCup2018 #サッカーワールドカップ #サッカー好きな人RT #韓国大使館 https://t.co/WzrCqp7Gbu
2018-06-29,12:30:31,900,"【2020東京オリンピック・パラリンピックメキシコ代表事前合宿トレーナー活動体験記 （自転車競技）】

https://t.co/V1tB0vt49V https://t.co/OIGJ4TBXq7"
2018-06-29,12:28:19,900,ワールドカップ見てると、第一回WBCでメキシコ代表がアメリカ戦の前日に諦めてディズニーランド遊びに行ったんだけど結果勝ってしまって、日本が準決勝進出決めたの思い出す
2018-06-29,12:13:15,900,"貴州人和のウ◯コ色ユニ（2012）。この年はナイキ一括提供だったけど、「ただの赤シャツ」とか「ポルトガル気取ろうとしたスイカ色」とか「メキシコ代表みたいな奇妙な文様」とか色々あったなあ…
https://t.co/XwechgQZg4 https://t.co/t6Z46BPZnW"
2018-06-29,11:50:58,900,"メキシコ代表のFW、ハビエル・エルナンデスと女性の好みが同じということが判明（笑）
意外なところで気があった。
アナ・クラウディアちゃんは、案外ファン多いからね。
https://t.co/7OXvaWgvdk"
2018-06-29,11:26:31,900,私らがのほほんとサッカーワールドカップを応援していたとしても、メキシコ代表にはこういう犯罪者が数多くいる。そもそも中南米諸国にまともな国なんてほぼないよ
2018-06-29,10:40:50,900,そういえばメキシコ代表はこのWindow3からスペイン人のイバン・デニスさんが代表HCになったんだった
2018-06-29,10:17:24,900,メキシコ代表監督がスウェーデン戦振り返る「戦術的に劣っていたとは思わない」https://t.co/4KAwJL4rEk https://t.co/XjknIxF4vB
2018-06-29,09:43:57,900,“突破アシスト”へのお礼…メキシコ代表スポンサー、韓国大使館にビール贈呈 https://t.co/Ti3fSussao
2018-06-29,09:37:40,900,“突破アシスト”へのお礼…メキシコ代表スポンサー、韓国大使館にビール贈呈 https://t.co/TrOIRDyDJN
2018-06-29,09:29:32,900,メキシコ代表にハビエル・エルナンデスって選手がいて紛らわしい。さらにスペインにハビエル・フェルナンデス・エルナンデスって選手もいてもっと紛らわしい。
2018-06-29,09:11:10,900,"@kskgroup2017 メキシコ代表おめでとうございます！
本田さんアジア新記録おめでとうございます！
トーナメントは先発出場をして偉業を成し遂げて下さい！"
2018-06-29,09:01:09,900,ワールドカップ全然見れてないや。とにかくメキシコが予選を通過したのが嬉しい！メキシコ代表はいつも応援してる。悲願のベスト８いけるかな？日本はベルギーとか。ベルギーも好きだな。何度も行ったし。しかしアジア枠は減らしてよくない？イタリアとオランダ見たかったな。
2018-06-29,08:10:05,900,"@nekosn00 @shinoji01 https://t.co/z9PJgxPlzL メキシコ代表""はあ!?ふざけんなよ？お前(呆)"" https://t.co/sHKJotsZhr"
2018-06-29,07:53:48,900,"@agito525 これｗ
“突破アシスト”へのお礼…メキシコ代表スポンサー、韓国大使館にビール贈呈 https://t.co/jpV9ihoItK"
