date,time,timezone,tweet
2022-12-02,23:25:52,900,モロッコ代表は私の予想だとまだ20kgの重りをつけてプレーしてるし必殺技も使っていません。
2022-12-02,23:25:12,900,小学校の頃ウイイレでモロッコ代表使うの流行ってたな～
2022-12-02,23:22:21,900,@lala03_spoon ドイツもスペインも若返りというか、その分知らない選手も多かったんですが、ブンデスリーガとラ・リーガの選手が多い中、日本代表とモロッコ代表は各国に選出が携わっていて、なんかそんなチームのが対応力があるのかなとかって……勝手な自論なんですけどね。
2022-12-02,23:12:55,900,"今大会はモロッコがやたら強い。
優勝するんじゃないの？
ベルギー戦を見てそう思った。
#ワールドカップ 
#モロッコ代表"
2022-12-02,23:11:08,900,"ハリルホジッチ前日本監督ってある意味
すごいよね。モロッコと日本がグループ首位で通過したし。

#FIFAWorldCup 
#日本代表 
#モロッコ代表"
2022-12-02,23:09:41,900,"モロッコ代表のエンネシリって北海道っぽい名前

ピンネシリ
マチネシリ
エンネシリ←NEW!!"
2022-12-02,22:56:01,900,"モロッコ代表の勝利に涙するイタリア人リノ・バッコ。モロッコのカサブランカ生まれでモロッコのサッカージャーナリストでは最長老。

https://t.co/d0aWiR0BHt"
2022-12-02,22:32:30,900,"@MURA_ATSU_ クロアチア、ベルギー、カナダがいるリーグ首位抜けしてるチームだし普通にモロッコ代表強い
普通に負けるすらある"
2022-12-02,22:27:00,900,"スペイン代表はモロッコ代表と対戦することになったのを見て、前回大会の日本代表と似た状況なのかなと想像してしまった。
悔しい気持ちをぶつけられるかがカギ。
一方のモロッコは、前回大会のリターンマッチになったので、やる気は漲っているはず。
日本代表の試合の翌日にやる試合は見逃せない。"
2022-12-02,22:19:30,900,日本がドイツとスペインに勝った勝因。色々理由はあると思うけど、個人的にはハリルかなぁと思ってる。あのデュエルのマインドって今大会での対人戦で凄いよく働いてるんじゃないかなと。直前で解雇されたモロッコ代表もベルギークロアチアを抑えて一位通過だし、やっぱハリルってすげーんじゃないか？
2022-12-02,21:59:31,900,モロッコ代表誰かいたよなぁって考えたらハキミだ
2022-12-02,20:57:06,900,モロッコ代表はアクラフハキミしか知らん🙄
