date,time,timezone,tweet
2018-06-29,22:24:33,900,"そうですね。　RT @Newsweek_JAPAN: 大成功を収めるプーチン露大統領のW杯外交──大会運営も非の打ちどころなし
おまけに国内も、ロシア代表の決勝トーナメント進出で湧きに沸いている
https://t.co/qH2Nc6nage 
#W杯 #ロシア #プーチン #米ロ首脳会談 #外交 https://t.co/uRktylVoAJ"
2018-06-29,22:20:07,900,"大成功を収めるプーチン露大統領のW杯外交──大会運営も非の打ちどころなし
おまけに国内も、ロシア代表の決勝トーナメント進出で湧きに沸いている
https://t.co/1wNCdk6gC5 
#W杯 #ロシア #プーチン #米ロ首脳会談 #外交 https://t.co/BivKNTUTYQ"
2018-06-29,20:47:16,900,チェルシー、ロシア代表のアレクサンドル ゴロビンと話し合いへ（Daily Telegraph) https://t.co/QWTwywnBUI
2018-06-29,20:35:38,900,プーチン普通に強そうだしロシア代表で出て欲しい
2018-06-29,20:23:07,900,"日本とロシア代表がともに決勝トーナメントに進出しました！　
この快挙を記念して、ワールドカップ特別セールを開催しています。この期間、ロシア・ワールドカップ公式グッズを割引価格で販売します。売れ切れ次第終了となりますので、ご注文はお早めに。
https://t.co/g20RKTvMxs"
2018-06-29,18:48:36,900,私はロシア代表見たいだけだから日本代表など1mmも関心が無い
2018-06-29,17:39:38,900,ヴォルゴグラードのヒルトンにあったロシア代表ユニ https://t.co/sb5oNZ047K
2018-06-29,17:29:00,900,"ロシア代表の監督　前任のヒディンク監督を視察に呼び、チームにきつーいブラックユーモア【動画】
#ロシア #サッカー #Ｗ杯
https://t.co/xbpMwDlmFr"
2018-06-29,15:46:12,900,ユベントスがロシア代表ゴロヴィン争奪戦から撤退か！？ https://t.co/FW3QERrjkb
2018-06-29,15:44:21,900,【衝撃】圧倒的走行距離の謎…W杯ロシア代表に浮上した「疑惑」がガチでヤベええええええええええ https://t.co/jAUQ3YoIMx
2018-06-29,15:18:28,900,周りは日本代表が何やねんみたいな。オレから見たらロシア代表がなんやねん、と。たまに何と戦っているのか、分からなくなる。（本田圭佑）（CSKAモスクワで） #meigen #名言 #スポーツ
2018-06-29,15:06:46,900,"@rmn__ 決まったーーー！！！ロシア代表カーボンローラーのゴールに、ついに日本代表スシのチャクチが決まったァあああーーー！！！

パブロはどこ代表なんですかね"
2018-06-29,14:49:03,900,元ロシア代表の“レジェンド”が激白。「ロシアサッカーはカオスだ！」 https://t.co/hau75rkXHa
2018-06-29,14:23:31,900,【衝撃】圧倒的走行距離の謎…W杯ロシア代表に浮上した「疑惑」がガチでヤベええええええええええ https://t.co/jeejnLgEyJ https://t.co/Y0oHNJF6tu
2018-06-29,13:40:02,900,"大成功を収めるプーチン露大統領のW杯外交──大会運営も非の打ちどころなし
おまけに国内も、ロシア代表の決勝トーナメント進出で湧きに沸いている
https://t.co/1wNCdk6gC5 
#W杯 #ロシア #プーチン #米ロ首脳会談 #外交 https://t.co/a8Dru5jDDr"
2018-06-29,12:44:33,900,"俺がこのW杯で一番目にスゲー選手だ！！って思ったのはロシア代表のゴロビンです
顔はロイスにそっくりでイケメン"
2018-06-29,12:23:52,900,"よく見たらナザニキがスケアメもNHKもロシア代表になってますけどえっ誤植ですよね？移籍なわけないですよね？ロシアに移籍する理由がよくわからないし
99.999999999%誤植だとは思いますがそわそわするのでISUさん早く直して下さい… https://t.co/jhFPEwnwPv"
2018-06-29,12:11:03,900,ロシア代表のゴロヴィンか。サッリもナポリ時代に狙ってたのね。
2018-06-29,10:38:46,900,"結局　批判している人はワールドカップ出たこと無い人なんだよね！
悔しいけど😅
世界ランク50位以下の国が如何に予選リーグ突破するのが大変か？！
想像絶する覚悟と犠牲が伴うなぁ！
頑張れ✊日本代表！！
ロシア代表！！"
2018-06-29,08:35:02,900,W杯ロシア代表、予想外の躍進もプーチンは興味なし？｜ニューズウィーク日本版 https://t.co/a0CaGvEoJn
