date,time,timezone,tweet
2022-12-15,22:33:59,900,@Count_Alfredo 韓国代表もサポーターもスタジアムにありもしない旭日旗の仕返しとかでキソンヨンみたにサルの真似したりたびたび日本を挑発しているけどそれはコンプレックスの裏返しなんじゃないかな。
2022-12-15,22:31:44,900,元サッカー韓国代表監督「認めたくはないが、日本の方が上手いことを認めなければならない…」 https://t.co/hyV4riDJEH
2022-12-15,22:23:00,900,"いちいち羨んだり蔑んだり、コッチを見てくるなよ、鬱陶しいw

W杯韓国代表が日本を「羨む」理由は？　プレー環境に差、競争力は「比較にならない」 https://t.co/CmL9nC2vfE"
2022-12-15,22:20:06,900,"【サッカー】元韓国代表監督が緊急提言「もう日本が上だと認めなければならない」
https://t.co/ZQhMNEdzw4"
2022-12-15,22:17:15,900,"今度のWBCの韓国代表は油断してはならないって記事が有ったけど、少なくともKBOウォッチャーしてるけど、韓米野球も無くなったし、なんかポジティブに捉える要素が少なすぎるんだよなぁ
この調子だと大丈夫なんですかね…？"
2022-12-15,22:17:03,900,WBC韓国代表は「楽な相手ではない」　代表監督に仕える日本人コーチが鳴らす“警鐘” (Full-Count) https://t.co/rLeBdRwyRx
2022-12-15,22:09:07,900,"政経ワロスまとめニュース♪ : 元サッカー韓国代表監督「認めたくはないが、日本の方が上手いことを認めなければならない…」
https://t.co/UTLvcGIsdO"
2022-12-15,22:06:54,900,"騙されたちゃ駄目だよ〜
裏じゃ絶対「小🐴🦌」にしてんだから
金欲しさでＪリーグに来たいだけ！
絶対に騙されんなよ！💢

【W杯】韓国代表、選手の“日本羨望”に母国紙が反応　「実力差を認めた」「続々と日本を称賛」（FOOTBALL ZONE） https://t.co/ytyEwpM7dS"
2022-12-15,22:06:49,900,【W杯】韓国代表、選手の“日本羨望”に母国紙が反応　「実力差を認めた」「続々と日本を称賛」 - 記事詳細｜Infoseekニュース https://t.co/0Ph6bDQNwz
2022-12-15,22:01:54,900,"鈴木さん久しぶりに見た。

WBC韓国代表は「楽な相手ではない」　代表監督に仕える日本人コーチが鳴らす“警鐘”(Full-Count)
#Yahooニュース
https://t.co/dLckoWpDcT"
2022-12-15,21:59:03,900,"【W杯】韓国代表、選手の“日本羨望”に母国紙が反応　「実力差を認めた」「続々と日本を称賛」(FOOTBALL ZONE)
#Yahooニュース
https://t.co/EZAMth0gB5 隣の芝生は青いってか？過去W杯4位だったろ？こっち見て話すんなよw あと欧州に需要ないのはテコンサッカーだからなんじゃねえの？"
2022-12-15,21:58:52,900,プレイウィンター、人材育成プログラム講師に、ソルトレイクアイスダンス韓国代表のヤン・テファ、ヨナ、ディヴィッド、男子シングルアン・ゴンヒョン、女子シングルキム・ヘジン、そして鈴木明子さん。
2022-12-15,21:55:40,900,"確かにそういう心の広さはJクラブにはあるかも。

【W杯】韓国代表DF、「日本がうらやましい」発言の真意は？　国内の問題点を指摘「実は…」(FOOTBALL ZONE)
https://t.co/rofHzY9BRr"
2022-12-15,21:48:00,900,"本日から札幌市でパラアイスホッケー
日本代表と韓国代表の交流戦が開かれており、伊藤樹も参加しております。

🗞開催にあたって北海道新聞さんの電子版に取材記事が掲載されております！

https://t.co/yPc1x3GB2o https://t.co/dqnfv3dqdE"
2022-12-15,21:41:29,900,"【W杯】韓国代表、選手の“日本羨望”に母国紙が反応　（FOOTBALL ZONE） https://t.co/1sXhQAJ7uU 

こう言うのはマジで「ストーカー」って言うんだよ

福沢諭吉が言った「朝鮮人には関わるな」それを無視した結果がこの有り様です

俺たちの世代で朝鮮人支那人を削ぎ落としましょう😊"
2022-12-15,21:41:24,900,"『続々と日本を称賛』だって⁉️
気色悪いから止めろ❗
それにまだまだ『反日ブースト』が足らんだけだ‼️ 
コッチ向くな(　｀ー´)ｹｯ!
@AustraliaInJPN @OrandainJapan
@ItalyinJPN
【W杯】韓国代表、選手の“日本羨望”に母国紙が反応
「実力差を認めた」
「続々と日本を称賛」  https://t.co/fHKQ6gxVR6"
2022-12-15,21:39:11,900,"『続々と日本を称賛』だって⁉️
気色悪いから止めろ
それにまだまだ『反日ブースト』が足らんだけだ❗
コッチ向くな (　｀ー´)ｹｯ
@ambafrancejp_jp @GermanyinJapan @CanadaNihon

【W杯】韓国代表、選手の日本羨望に母国紙が反応
「実力差を認めた」
「続々と日本を称賛」  https://t.co/fHKQ6gxVR6"
2022-12-15,21:37:19,900,"どうせ魂胆があるし騙されるなよ、、
そもそも何も関係無い国なので寄ってくるなよ。

【W杯】韓国代表、選手の“日本羨望”に母国紙が反応　「実力差を認めた」「続々と日本を称賛」(FOOTBALL ZONE)
#Yahooニュース
https://t.co/jAC57kJ6xR"
2022-12-15,21:37:01,900,"『続々と日本を称賛』だって⁉️
気色悪いから止めろ❗
それにまだまだ『反日ブースト』が足らんだけだ‼️ 
コッチ向くな!! (　｀ー´)ｹｯ
@KoreanEmb_japan @USAmbJapan
@UKinJapan
【W杯】韓国代表、選手の“日本羨望”に母国紙が反応
「実力差を認めた」
「続々と日本を称賛」  https://t.co/fHKQ6gxVR6"
