date,time,timezone,tweet
2022-12-06,23:29:40,900,"日本代表・森保一監督、クロアチア代表との激闘から一夜明け会見「選手たちが見せてくれた団結力は本当に素晴らしい。忘れることなく個の力を磨いてほしい」 (ABEMA TIMES)  https://t.co/3yAAmQyM8u
お疲れ様でした…"
2022-12-06,23:29:19,900,"え？
みんなも、昨日のクロアチア戦見た後から、旦那さん(もしくは彼氏)のこと○○チッチって呼んで、クロアチア代表じゃねーわ！ってくだりやってるよね？"
2022-12-06,23:29:19,900,日本代表も何本か、決定機を逸してたけど、クロアチア代表はかなり決定機を逸してた。90分のうちに逆転されてもおかしくなかった。
2022-12-06,23:27:51,900,"クロアチア戦の後、前田大然がセルティックの同僚でクロアチア代表ユラノヴィッチにキスされるの図。

#前田大然"
2022-12-06,23:27:51,900,"クロアチア代表は〇〇ッチが多いって言ってるけど
日本も権田、守田、鎌田、吉田、前田、上田って田が多いぞみたいなツイートが好きwwwwwww

そのツイートのリプにあった
そして解説は本田"
2022-12-06,23:26:07,900,日本代表とクロアチア代表が語る日本代表のインタビューとか読み漁ってる
2022-12-06,23:25:08,900,クロアチア代表に交じっててもギリバレないやつ https://t.co/6ZfZjBrK7B
2022-12-06,23:25:03,900,【W杯速報】クロアチア代表、日本戦のスタメン発表！ https://t.co/7wFW91D8vD
2022-12-06,23:24:39,900,「勝敗は兵家の常」……　サッカーW杯、日本代表に勝利したクロアチア代表が日本の分まで勝ち進んでいくことをお祈り申し上げます。頑張って！
2022-12-06,23:23:32,900,クロアチア代表、名前に「ッチ」って入る人多いからどこかに「バニリッチ」とか「バニプッチ」って名前混ぜても違和感無い説
2022-12-06,23:22:21,900,ブロゾビッチはクロアチア代表でもインテルでもチームの心臓
2022-12-06,23:22:11,900,120分間プレッシャーに耐えながら国を背負って戦った後、国を背負って1人でペナルティスポットに立ってPKを蹴る。自分たち視聴者側では感じられないような重圧があったんだろうなと。それは日本代表もクロアチア代表も同じ。その中でクロアチアさんは3本、日本は1本しか決めれなかった。それだけ。
2022-12-06,23:21:09,900,"(主に)無能の官房副長官のせいでクロアチア代表監督が日本に激おこじゃないですか
準々決勝で日韓戦？立場のある人間がしていい発言じゃあないよ"
2022-12-06,23:21:05,900,遠藤航、「蹴りたい人が蹴っていくって感じ」とPKの裏側暴露し森保一監督らに批判の声 #遠藤航 #クロアチア代表 #ワールドカップ https://t.co/nJLr4yyYGa
2022-12-06,23:20:58,900,"PKは宝くじではない

クロアチア代表監督"
2022-12-06,23:19:59,900,@mishimangn 昨夜観てて思いましたね🥺　PK戦を手ぐすね引くように待ち構えてたクロアチア代表、PK戦突入に焦って心配してるように見えた日本代表···
2022-12-06,23:18:17,900,やっぱりクロアチア代表にたまごっちのキャラ混ぜてもあんま違和感ないねwwwww https://t.co/UDWCWNfzEr
2022-12-06,23:18:03,900,"iOS16にしたので壁紙も新しくしました。

（これ誰かのツイートから拾った画像だったりして） https://t.co/ULP0rVYCFn"
2022-12-06,23:15:24,900,"@Koh_510 おお確かにストリングスの16分音符連射とかもうそのまんま青い珊瑚礁！

この歳になってようやく良さが分かってきて、山下達郎がラジオで流した曲やらYouTubeでソウルとんねるずの昔の動画やらで気に入った曲をプレイリストにして少しずつ勉強中なのです

https://t.co/vkwPLynn8a"
2022-12-06,23:14:56,900,"カタールW杯決勝トーナメント　日本‐クロアチア。  https://t.co/f9EPiv0CGl 
#カタールW杯2022 #決勝トーナメント #サッカー日本代表 #サッカー日本代表ありがとう #サッカー日本代表お疲れ様でした #クロアチア代表 #デルアンバサダープログラム"
2022-12-06,23:13:49,900,２４時間明けに思うのですが、０２年のトルコ代表🇹🇷より、１０年のパラグアイ代表🇵🇾より、１８年のベルギー代表🇧🇪よりもですよ、クロアチア代表🇭🇷は難敵でしたこと。トルコとパラグアイはタフでしたし、ベルギーも才能溢れるイレブンでしたが、クロアチアの方がサッカーIQが高いですね #日本クロアチア
2022-12-06,23:07:40,900,ねずっちとイノッチはクロアチア代表
2022-12-06,23:07:04,900,"@sakatopv クロアチア代表
モドリッチ
ベリシッチ
リヴァコヴィッチ
コヴァチッチ
ブロゾヴィッチ
グルビッチ

ビッチしか聞き取れないのです"
2022-12-06,23:06:09,900,単純なのでモドリッチさんとクロアチア代表と監督のインスタをフォローした(笑)わたしも立派なにわかです(笑)
2022-12-06,23:04:07,900,自称クロアチア代表ドングリッチ、人生オフサイドです(日本語無し) https://t.co/1kkD0Xcv30
2022-12-06,23:03:35,900,"クロアチア代表
GK ニシカタッチ
DF ミナッチ
DF ユカリッチ
DF サナエッチ
MF ナカイッチ
MF マノッチ
MF ハマグッチ
MF ホウジョッチ
MF モト・タカギ
FW タカギッチ
FW チイ

監督　タナベ
マネージャー　スミレッチ
コーチ タカオッチ
カメラマン キムラッチ
#からかい上手の高木さん"
2022-12-06,23:02:45,900,"改めて、⚽️日本代表は⚽️クロアチア代表と対戦して、PK戦の末に敗退、残念(&gt;_&lt;)
#サッカー日本代表 
#カタールW杯2022 
#カタールワールドカップ2022 
日本代表の夢破れる…またも16強の壁越えられず、PK戦制したクロアチアが準々決勝進出 https://t.co/U1IWi5MxHE"
2022-12-06,23:02:24,900,"クロアチア代表、W杯の決勝T直近5試合で4度の延長戦…日本代表を飲み込んだ“不屈の魂” https://t.co/YGTcrv8dfO
へぇ〜Σ(๑º ﾛ º๑)"
2022-12-06,23:00:32,900,"ブラジル代表、余裕かましすぎだな
クロアチア代表はアップセット起こせ！"
2022-12-06,23:00:12,900,"ワールドカップ同期のクロアチアには、「ベスト８の壁」なんて無かったのに。

クロアチア代表、W杯の決勝T直近5試合で4度の延長戦…日本代表を飲み込んだ“不屈の魂” https://t.co/vm1fiJ2seq"
2022-12-06,22:58:43,900,"ねずっちをクロアチア代表に混ぜても名前的に違和感ない説
モドリッチ　レアル•マドリード(スペイン)
コヴァチッチ　チェルシー(イングランド)
ペリシッチ　スパーズ(イングランド)
ブロゾビッチ　インテル(イタリア)
ヤキッチ　フランクフルト(ドイツ)
ネヅッチ　マンザイ(日本)"
2022-12-06,22:57:50,900,クロアチア代表　イジッチ
2022-12-06,22:54:39,900,クロアチアのGKって先日見たNETFLIX の「キャプテンズ」の6話で、メンバーから外されて落ち込んでたのをモドリッチが叱咤激励してたあのキーパーだったのか！あれを経てW杯の舞台に立って最高のパフォーマンスを見せたなんて感動。　#Netflix  #クロアチア代表　#モドリッチ #リバコビッチ https://t.co/079rQU9cly
2022-12-06,22:52:39,900,↑このニックネームつけてくれた@shingo1311113 まきりんに感謝🪆
