name,country,position,image,worth,age
Jon Busch,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/26827-1495717338.jpg?lm=1,300000,33
Jay DeMerit,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/15926-1585507621.jpg?lm=1,1916667,30
Clarence Goodson,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39467-1606065676.jpg?lm=1,1500000,27
Brad Evans,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/59460-1520963835.JPG?lm=1,187500,24
Heath Pearce,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/37432-1606065146.jpg?lm=1,391667,25
Jonathan Bornstein,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39454-1645958217.jpg?lm=1,550000,25
Marvell Wynne,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39393-1606064816.jpg?lm=1,350000,24
Davy Arnaud,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26824-1589276173.jpg?lm=1,358333,29
Sam Cronin,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/99689-1521281158.jpg?lm=1,200000,23
Santino Quaranta,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39433-1599840381.jpg?lm=1,150000,26
Jay Heaps,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39890-1591393185.jpg?lm=1,0,34
Colin Clark,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39351-1566975209.png?lm=1,266667,25
Brad Davis,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39842-1464161953.jpg?lm=1,250000,28
Eddie Gaven,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/30597-1589276007.jpg?lm=1,325000,23
Jeff Cunningham,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/15415-1586203998.jpg?lm=1,621429,33
Conor Casey,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/107-1607287499.jpg?lm=1,662500,28
Brian Ching,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/26227-1591807978.jpg?lm=1,466667,31
Robbie Findley,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/27167-1589276629.jpg?lm=1,250000,24
Esteban Díaz,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,109375,29
Sander Boschker,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_4582_317_2012_2.jpg?lm=1,666667,39
Orlando Engelaar,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_4451_383_2012_1.jpg?lm=1,4250000,30
Demy de Zeeuw,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_19087_58_2012_1.jpg?lm=1,7000000,27
Philemon McCarthy,ガーナ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/37707-1611345377.jpg?lm=1,100000,26
William Amamoo,ガーナ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,100000,24
Illiasu Shilla,ガーナ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1166667,27
Eric Addo,ガーナ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,700000,31
