name,country,position,image,playerpage
Tim Howard,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/4267-1587066706.jpg?lm=1,https://www.transfermarkt.jp/tim-howard/profil/spieler/4267
Nick Rimando,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/39434-1549875750.jpg?lm=1,https://www.transfermarkt.jp/nick-rimando/profil/spieler/39434
Bill Hamid,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/77714-1657272444.jpg?lm=1,https://www.transfermarkt.jp/bill-hamid/profil/spieler/77714
Sean Johnson,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/126630-1618691914.jpg?lm=1,https://www.transfermarkt.jp/sean-johnson/profil/spieler/126630
Geoff Cameron,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/31642-1646524546.png?lm=1,https://www.transfermarkt.jp/geoff-cameron/profil/spieler/31642
John Anthony Brooks,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/124732-1643900144.JPG?lm=1,https://www.transfermarkt.jp/john-anthony-brooks/profil/spieler/124732
Jonathan Spector,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/24637-1520876373.jpg?lm=1,https://www.transfermarkt.jp/jonathan-spector/profil/spieler/24637
Tim Ream,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/145466-1628697630.jpg?lm=1,https://www.transfermarkt.jp/tim-ream/profil/spieler/145466
Michael Orozco,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/58599-1587069652.jpg?lm=1,https://www.transfermarkt.jp/michael-orozco/profil/spieler/58599
Oguchi Onyewu,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/12517-1489602500.jpg?lm=1,https://www.transfermarkt.jp/oguchi-onyewu/profil/spieler/12517
Michael Parkhurst,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39897-1550308779.jpg?lm=1,https://www.transfermarkt.jp/michael-parkhurst/profil/spieler/39897
Brad Evans,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/59460-1520963835.JPG?lm=1,https://www.transfermarkt.jp/brad-evans/profil/spieler/59460
Clarence Goodson,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39467-1606065676.jpg?lm=1,https://www.transfermarkt.jp/clarence-goodson/profil/spieler/39467
Matt Besler,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/105975-1618608201.jpg?lm=1,https://www.transfermarkt.jp/matt-besler/profil/spieler/105975
Omar González,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/99690-1646576219.jpg?lm=1,https://www.transfermarkt.jp/omar-gonzalez/profil/spieler/99690
Will Packwood,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_129077_337_2014_03_03_1.jpg?lm=1,https://www.transfermarkt.jp/will-packwood/profil/spieler/129077
Edgar Castillo,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/53542-1583434417.JPG?lm=1,https://www.transfermarkt.jp/edgar-castillo/profil/spieler/53542
DaMarcus Beasley,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/20584-1551295816.jpg?lm=1,https://www.transfermarkt.jp/damarcus-beasley/profil/spieler/20584
Timothy Chandler,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/49723-1663064872.jpg?lm=1,https://www.transfermarkt.jp/timothy-chandler/profil/spieler/49723
Eric Lichaj,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/61575-1648761927.jpg?lm=1,https://www.transfermarkt.jp/eric-lichaj/profil/spieler/61575
Graham Zusi,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/108353-1647549344.jpg?lm=1,https://www.transfermarkt.jp/graham-zusi/profil/spieler/108353
Tony Beltran,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54927-1549874563.jpg?lm=1,https://www.transfermarkt.jp/tony-beltran/profil/spieler/54927
DeAndre Yedlin,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/255916-1647683071.jpg?lm=1,https://www.transfermarkt.jp/deandre-yedlin/profil/spieler/255916
Jermaine Jones,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/1321-1587709287.jpg?lm=1,https://www.transfermarkt.jp/jermaine-jones/profil/spieler/1321
Danny Williams,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/38383-1520606519.jpg?lm=1,https://www.transfermarkt.jp/danny-williams/profil/spieler/38383
Maurice Edu,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/50987-1489602860.jpg?lm=1,https://www.transfermarkt.jp/maurice-edu/profil/spieler/50987
Kyle Beckerman,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26995-1584044065.JPG?lm=1,https://www.transfermarkt.jp/kyle-beckerman/profil/spieler/26995
Michael Bradley,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30593-1645892074.jpg?lm=1,https://www.transfermarkt.jp/michael-bradley/profil/spieler/30593
Alejandro Bedoya,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/111783-1646139260.jpg?lm=1,https://www.transfermarkt.jp/alejandro-bedoya/profil/spieler/111783
Francisco Torres,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52623-1637943575.jpg?lm=1,https://www.transfermarkt.jp/francisco-torres/profil/spieler/52623
Joe Corona,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/162940-1647680251.JPG?lm=1,https://www.transfermarkt.jp/joe-corona/profil/spieler/162940
Stuart Holden,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30071-1606066306.jpg?lm=1,https://www.transfermarkt.jp/stuart-holden/profil/spieler/30071
Mix Diskerud,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/103559-1611153583.jpeg?lm=1,https://www.transfermarkt.jp/mix-diskerud/profil/spieler/103559
Alfredo Morales,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/58500-1645986059.jpg?lm=1,https://www.transfermarkt.jp/alfredo-morales/profil/spieler/58500
