name,country,position,image,worth,age
Gege Soriola,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,125000,25
James Okwuosa,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/211804-1523873886.jpg?lm=1,125000,24
Elderson,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/59938-1504015864.jpg?lm=1,3000000,26
Juwon Oshaniwa,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,300000,23
Solomon Kwambe,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/221178-1582380337.jpg?lm=1,250000,20
Mikel John Obi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30739-1483700848.jpg?lm=1,20000000,26
Ogenyi Onazi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131709-1579134340.png?lm=1,6000000,21
Fegor Ogude,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/164487-1537938589.png?lm=1,500000,26
Ugonna Uzochukwu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/265493-1551554334.jpg?lm=1,50000,22
Joel Obi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/45581-1630590262.jpg?lm=1,5000000,22
Ramon Azeez,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131667-1583308689.jpg?lm=1,1000000,21
Nosa Igiebor,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_108636_150_2014_01_10_1.jpg?lm=1,1500000,23
Reuben Gabriel,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/143622-1520102878.jpg?lm=1,500000,23
Victor Moses,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/59866-1632577912.png?lm=1,11000000,23
Michel Babatunde,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/177688-1494340005.jpg?lm=1,1200000,21
